id,city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,rent_amount,property_tax,fire_insurance,total
109,1,25,1,1,0,5,not acept,furnished,2600.00,67.00,33.00,2970.00
110,1,50,1,1,1,0,acept,not furnished,1100.00,0.00,17.00,1117.00
111,1,40,1,1,0,3,acept,not furnished,1100.00,0.00,14.00,1414.00
112,1,80,2,2,2,0,acept,not furnished,2465.00,0.00,38.00,2503.00
113,1,280,6,6,3,0,acept,not furnished,5000.00,1118.00,76.00,6194.00
114,1,60,1,1,1,12,acept,furnished,4723.00,0.00,18.00,5591.00
115,1,115,2,3,2,8,acept,not furnished,12000.00,790.00,153.00,14320.00
116,1,540,3,3,4,9,acept,not furnished,15000.00,3500.00,191.00,24890.00
117,1,76,2,1,1,12,not acept,furnished,4250.00,217.00,54.00,5427.00
118,0,150,4,5,2,1,acept,not furnished,2980.00,360.00,38.00,4478.00
119,1,130,3,2,1,8,acept,not furnished,5500.00,209.00,70.00,8179.00
120,0,64,2,1,1,0,acept,not furnished,730.00,18.00,10.00,1199.00
121,1,55,2,2,1,2,acept,not furnished,1300.00,50.00,17.00,1787.00
122,1,50,1,1,0,1,acept,not furnished,1300.00,0.00,17.00,1917.00
123,1,120,2,3,2,20,acept,not furnished,7000.00,180.00,89.00,9269.00
124,0,236,3,4,4,10,acept,not furnished,11000.00,440.00,140.00,13180.00
125,0,30,1,1,0,4,acept,not furnished,550.00,10.00,7.00,903.00
126,0,270,3,3,0,0,acept,furnished,8000.00,500.00,121.00,8621.00
127,0,48,1,1,0,9,acept,not furnished,670.00,21.00,9.00,1050.00
128,0,198,6,3,4,0,acept,not furnished,2000.00,145.00,31.00,2176.00
129,1,50,1,1,0,0,acept,not furnished,1080.00,59.00,17.00,1156.00
130,1,185,3,3,3,20,acept,not furnished,5600.00,907.00,71.00,9248.00
131,1,440,4,4,4,0,acept,not furnished,12000.00,2500.00,181.00,14680.00
132,0,119,3,2,2,7,acept,not furnished,1200.00,212.00,16.00,3078.00
133,1,57,2,2,2,16,acept,not furnished,1690.00,11.00,22.00,2233.00
134,1,65,2,1,1,1,acept,not furnished,1400.00,84.00,18.00,1602.00
135,1,35,2,1,1,0,acept,not furnished,2100.00,0.00,32.00,2257.00
136,0,51,1,2,1,16,not acept,not furnished,2100.00,150.00,27.00,2980.00
137,0,70,2,3,1,7,acept,not furnished,2004.00,0.00,26.00,3226.00
138,1,90,2,1,1,0,acept,not furnished,1500.00,0.00,23.00,1523.00
139,1,320,3,4,3,8,acept,not furnished,6800.00,1.00,87.00,10290.00
140,1,250,7,5,2,0,acept,not furnished,12750.00,1045.00,192.00,13990.00
141,1,70,2,1,1,6,acept,not furnished,3800.00,45.00,49.00,4554.00
142,1,169,4,6,3,7,acept,furnished,10000.00,734.00,127.00,13420.00
143,1,33,1,1,0,1,not acept,not furnished,1100.00,63.00,14.00,1515.00
144,1,225,4,4,3,7,acept,not furnished,5000.00,1267.00,64.00,9131.00
145,1,42,1,1,0,2,acept,furnished,3256.00,0.00,42.00,3298.00
146,1,120,3,4,1,0,not acept,not furnished,4000.00,4.00,61.00,4065.00
147,1,70,3,2,2,3,not acept,not furnished,1500.00,148.00,20.00,2418.00
148,1,90,1,1,2,0,acept,furnished,3200.00,137.00,49.00,3386.00
149,1,260,4,5,4,9,acept,furnished,3300.00,1000.00,42.00,6356.00
150,1,243,3,3,4,10,acept,not furnished,5500.00,1950.00,70.00,10200.00
151,1,100,1,1,0,0,acept,not furnished,1530.00,0.00,12.00,1542.00
152,1,240,3,4,3,9,acept,not furnished,5100.00,1102.00,65.00,9478.00
153,0,45,1,1,1,4,acept,not furnished,870.00,46.00,12.00,1628.00
154,1,65,1,1,1,2,acept,furnished,5000.00,14.00,64.00,5758.00
155,1,47,1,1,0,4,not acept,not furnished,1000.00,76.00,13.00,1189.00
156,1,60,2,1,0,2,acept,furnished,3300.00,65.00,42.00,3996.00
157,1,340,4,6,6,0,acept,furnished,15000.00,250.00,226.00,15480.00
158,1,500,4,4,0,0,acept,not furnished,6000.00,467.00,91.00,6558.00
159,1,55,2,1,1,14,acept,not furnished,1399.00,0.00,18.00,1837.00
160,1,240,3,4,3,3,acept,furnished,4950.00,1000.00,63.00,9613.00
161,1,65,2,2,1,1,acept,not furnished,2315.00,0.00,7.00,2972.00
162,1,68,1,1,0,0,not acept,not furnished,1213.00,0.00,6.00,1219.00
163,1,500,4,4,3,0,acept,not furnished,10800.00,988.00,163.00,11950.00
164,1,198,2,2,2,13,acept,not furnished,5500.00,320.00,70.00,7590.00
165,1,62,2,1,1,13,acept,not furnished,2200.00,59.00,28.00,2830.00
166,1,60,2,2,1,4,acept,not furnished,2806.00,25.00,36.00,3499.00
167,1,187,3,2,3,0,not acept,furnished,8400.00,584.00,127.00,10810.00
168,1,25,1,1,0,23,acept,not furnished,2200.00,45.00,28.00,2705.00
169,1,230,3,4,3,0,acept,not furnished,3600.00,409.00,55.00,4064.00
170,1,17,1,1,0,1,not acept,furnished,2400.00,50.00,31.00,2781.00
171,1,67,2,2,1,17,acept,not furnished,2200.00,170.00,28.00,3138.00
172,1,20,1,1,0,1,acept,furnished,2060.00,0.00,27.00,2087.00
173,1,118,3,2,2,7,acept,furnished,8500.00,434.00,108.00,10920.00
174,1,43,1,1,1,2,acept,not furnished,2430.00,172.00,31.00,3483.00
175,1,195,2,3,1,10,acept,not furnished,6000.00,334.00,77.00,7911.00
176,1,141,3,4,3,7,not acept,not furnished,7500.00,735.00,96.00,9977.00
177,1,45,1,1,1,1,not acept,not furnished,2300.00,0.00,30.00,2880.00
178,1,48,1,1,1,19,acept,not furnished,1525.00,0.00,6.00,2119.00
179,1,280,3,4,2,3,not acept,not furnished,6000.00,1059.00,77.00,11140.00
180,1,170,3,2,2,5,not acept,not furnished,5000.00,423.00,64.00,7686.00
181,1,90,3,2,1,0,acept,not furnished,3260.00,0.00,50.00,3310.00
182,0,35,1,1,1,7,acept,not furnished,1100.00,13.00,14.00,1519.00
183,1,16,1,1,0,8,not acept,not furnished,2300.00,100.00,30.00,2820.00
184,0,68,1,1,1,10,not acept,furnished,1000.00,48.00,13.00,1661.00
185,1,80,3,5,2,4,not acept,not furnished,12000.00,1000.00,153.00,16610.00
186,1,190,3,2,1,6,acept,furnished,8000.00,556.00,102.00,11700.00
187,1,150,3,4,2,0,not acept,not furnished,3400.00,0.00,52.00,3452.00
188,1,112,3,3,2,12,acept,furnished,2670.00,188.00,34.00,3992.00
189,1,145,3,4,3,1,not acept,not furnished,6000.00,750.00,77.00,8027.00
190,0,47,1,1,1,8,acept,not furnished,1100.00,46.00,14.00,1720.00
191,1,128,3,2,1,3,acept,furnished,4529.00,242.00,58.00,5923.00
192,1,250,3,4,4,0,acept,not furnished,4500.00,334.00,68.00,4902.00
193,1,120,3,1,0,2,acept,not furnished,1460.00,0.00,21.00,1731.00
194,1,110,2,2,2,0,not acept,not furnished,2700.00,300.00,41.00,3041.00
195,1,400,2,5,4,0,acept,not furnished,6000.00,484.00,91.00,6575.00
196,1,35,1,1,1,9,not acept,furnished,2600.00,317.00,33.00,4000.00
197,1,107,2,2,2,18,acept,furnished,12800.00,417.00,163.00,15180.00
198,1,97,2,2,0,1,acept,not furnished,5600.00,0.00,71.00,6871.00
199,1,70,2,1,0,1,not acept,not furnished,1050.00,116.00,14.00,1530.00
200,1,20,1,1,0,3,not acept,furnished,3142.00,67.00,40.00,3399.00
201,1,130,3,2,2,6,acept,not furnished,3500.00,209.00,45.00,4854.00
202,1,120,3,2,3,16,acept,not furnished,2000.00,292.00,26.00,3718.00
203,1,110,3,3,2,2,acept,furnished,3800.00,192.00,49.00,5041.00
204,1,300,3,5,3,0,acept,not furnished,11900.00,250.00,179.00,12330.00
205,1,349,4,5,4,8,not acept,not furnished,11000.00,0.00,140.00,14240.00
206,1,97,3,2,2,1,acept,not furnished,3000.00,303.00,39.00,4072.00
207,1,84,4,1,3,5,not acept,not furnished,6000.00,804.00,77.00,8795.00
208,1,180,2,2,1,0,not acept,not furnished,2800.00,105.00,43.00,2948.00
209,1,286,4,4,5,0,acept,not furnished,10000.00,1000.00,151.00,11150.00
210,1,500,5,7,5,22,acept,not furnished,14000.00,2084.00,178.00,21760.00
211,1,110,3,3,3,4,acept,not furnished,2350.00,670.00,30.00,4245.00
212,1,196,4,4,0,11,acept,not furnished,6000.00,1458.00,77.00,9985.00
213,1,33,1,1,1,12,not acept,not furnished,4150.00,95.00,53.00,4850.00
214,1,400,4,4,3,0,acept,not furnished,9000.00,542.00,136.00,9678.00
215,1,170,2,1,0,1,acept,furnished,2481.00,0.00,26.00,2507.00
216,1,90,1,1,0,0,acept,not furnished,2200.00,109.00,34.00,2343.00
217,1,184,3,4,3,12,acept,not furnished,1400.00,692.00,18.00,4810.00
218,1,117,2,2,1,11,not acept,furnished,7130.00,150.00,91.00,8001.00
219,1,11,1,1,0,0,not acept,furnished,1181.00,0.00,15.00,1196.00
220,0,57,1,1,1,2,acept,not furnished,800.00,66.00,11.00,1482.00
221,1,16,1,1,0,1,not acept,not furnished,850.00,30.00,11.00,891.00
222,1,180,4,3,1,4,acept,furnished,5000.00,240.00,64.00,6876.00
223,1,250,3,4,2,16,acept,not furnished,6000.00,517.00,77.00,9894.00
224,1,220,3,4,2,0,acept,furnished,7000.00,434.00,106.00,7540.00
225,1,360,3,5,4,22,acept,not furnished,3135.00,1467.00,40.00,7040.00
226,1,122,3,4,3,5,acept,not furnished,4500.00,0.00,58.00,4558.00
227,1,138,3,4,3,2,not acept,not furnished,7000.00,690.00,89.00,8569.00
228,1,110,3,1,1,1,acept,not furnished,1400.00,0.00,18.00,2653.00
229,1,220,4,3,3,3,acept,not furnished,3400.00,0.00,44.00,5044.00
230,1,118,3,2,1,11,not acept,not furnished,4775.00,185.00,61.00,6137.00
231,1,180,2,2,1,15,acept,not furnished,5350.00,0.00,68.00,7218.00
232,1,52,2,1,1,7,acept,not furnished,1300.00,63.00,17.00,1920.00
233,1,30,1,1,0,1,acept,furnished,1550.00,21.00,20.00,1591.00
234,1,160,3,3,2,5,acept,furnished,1500.00,419.00,20.00,3589.00
235,0,209,3,3,2,0,not acept,not furnished,2550.00,237.00,39.00,3419.00
236,1,450,5,5,6,0,acept,not furnished,9500.00,1345.00,143.00,10990.00
237,1,117,3,3,3,10,acept,not furnished,2300.00,700.00,30.00,5310.00
238,1,900,4,6,8,0,acept,not furnished,15000.00,4417.00,226.00,19640.00
239,1,200,3,3,0,0,acept,not furnished,4500.00,71.00,68.00,4639.00
240,1,128,3,3,2,10,acept,not furnished,3800.00,605.00,49.00,7054.00
241,1,140,3,2,2,2,acept,not furnished,3700.00,167.00,47.00,5394.00
242,1,180,3,3,4,27,acept,not furnished,7000.00,859.00,89.00,9948.00
243,1,280,4,4,5,9,acept,not furnished,3200.00,875.00,41.00,7116.00
244,1,420,4,6,4,8,acept,not furnished,15000.00,2250.00,191.00,20940.00
245,1,48,1,1,1,8,acept,furnished,2700.00,137.00,35.00,3612.00
246,1,148,3,2,2,2,not acept,furnished,9000.00,267.00,115.00,12210.00
247,1,75,2,1,1,5,not acept,not furnished,2000.00,0.00,26.00,2774.00
248,1,44,1,1,0,1,not acept,not furnished,3016.00,0.00,12.00,3445.00
249,1,35,1,1,0,0,acept,not furnished,1100.00,30.00,14.00,1144.00
250,1,320,4,2,2,0,acept,furnished,8000.00,642.00,121.00,8763.00
251,0,98,3,2,1,1,acept,not furnished,1233.00,84.00,16.00,2060.00
252,0,51,1,1,0,12,not acept,furnished,1300.00,45.00,17.00,2069.00
253,1,322,4,5,5,17,acept,furnished,15000.00,1875.00,191.00,19770.00
254,1,187,4,5,3,5,acept,not furnished,5300.00,1424.00,68.00,10700.00
255,1,62,3,2,1,6,not acept,furnished,4800.00,167.00,61.00,6578.00
256,1,130,2,2,1,0,acept,not furnished,4300.00,100.00,55.00,5555.00
257,0,600,4,6,3,0,acept,not furnished,5500.00,819.00,83.00,7525.00
258,1,520,3,4,2,0,acept,not furnished,9000.00,1500.00,136.00,10640.00
259,1,86,1,2,1,13,acept,furnished,6500.00,375.00,83.00,8758.00
260,1,72,2,2,1,6,acept,not furnished,5431.00,334.00,69.00,6934.00
261,1,550,4,4,4,0,acept,not furnished,14000.00,1334.00,211.00,15550.00
262,1,50,1,1,0,0,not acept,not furnished,1220.00,0.00,19.00,1239.00
263,1,298,5,3,3,0,acept,not furnished,8000.00,1384.00,121.00,9505.00
264,0,74,3,2,1,10,acept,not furnished,1800.00,120.00,23.00,2643.00
265,1,41,1,1,0,17,acept,furnished,2470.00,0.00,32.00,2952.00
266,0,80,3,2,2,2,acept,not furnished,1450.00,110.00,19.00,2329.00
267,1,130,3,2,1,1,acept,not furnished,4500.00,100.00,58.00,5858.00
268,1,64,1,2,2,15,acept,not furnished,2100.00,92.00,27.00,2910.00
269,1,50,1,1,1,9,not acept,not furnished,2730.00,9.00,35.00,3944.00
270,1,200,3,2,4,0,acept,not furnished,3500.00,0.00,53.00,3553.00
271,1,70,1,1,2,9,acept,furnished,7000.00,542.00,89.00,9781.00
272,0,41,1,1,1,11,acept,not furnished,1950.00,65.00,14.00,2419.00
273,1,89,2,2,0,2,acept,not furnished,1900.00,0.00,25.00,2925.00
274,1,250,4,2,8,0,acept,not furnished,13040.00,500.00,197.00,13740.00
275,1,105,2,1,0,0,acept,not furnished,1800.00,125.00,28.00,1953.00
276,1,150,2,2,1,0,acept,not furnished,2100.00,0.00,32.00,2133.00
277,1,50,2,1,1,14,not acept,not furnished,1950.00,0.00,25.00,2425.00
278,1,180,3,2,1,0,acept,not furnished,5400.00,459.00,82.00,5941.00
279,1,50,1,1,0,0,not acept,not furnished,1000.00,0.00,16.00,1016.00
280,0,70,1,1,2,0,acept,not furnished,1450.00,5.00,22.00,1477.00
281,1,177,2,2,2,0,acept,not furnished,6000.00,342.00,91.00,6433.00
282,1,177,4,5,4,12,acept,not furnished,9200.00,959.00,117.00,11780.00
283,1,18,1,1,0,0,acept,not furnished,1710.00,0.00,22.00,1732.00
284,1,200,3,4,2,0,acept,not furnished,2900.00,1100.00,44.00,4044.00
285,1,45,1,1,1,1,not acept,furnished,5520.00,0.00,70.00,8590.00
286,0,70,2,1,1,3,acept,not furnished,750.00,43.00,10.00,1023.00
287,1,66,3,2,1,9,acept,not furnished,2179.00,13.00,28.00,2928.00
288,1,48,2,1,0,2,acept,not furnished,1150.00,90.00,15.00,1345.00
289,1,515,5,4,3,5,acept,not furnished,15000.00,250.00,191.00,21040.00
290,1,55,2,2,1,7,acept,not furnished,2000.00,0.00,26.00,2676.00
291,1,350,4,5,2,0,acept,not furnished,5000.00,325.00,76.00,5401.00
292,1,260,3,3,3,8,acept,furnished,5000.00,842.00,64.00,8116.00
293,1,78,2,1,1,7,acept,not furnished,2000.00,35.00,26.00,2706.00
294,1,35,1,1,0,6,acept,furnished,1780.00,0.00,23.00,2223.00
295,1,106,2,1,2,0,not acept,not furnished,2100.00,110.00,32.00,2242.00
296,1,500,3,3,5,0,acept,furnished,15000.00,1125.00,226.00,16350.00
297,1,38,1,1,0,0,not acept,not furnished,1650.00,0.00,25.00,1675.00
298,1,153,2,2,1,15,acept,furnished,11900.00,350.00,151.00,13900.00
299,1,64,2,2,2,5,acept,not furnished,1600.00,205.00,21.00,2656.00
300,1,260,3,4,4,0,acept,not furnished,4500.00,0.00,68.00,4568.00
301,0,50,1,1,1,11,acept,not furnished,500.00,105.00,7.00,2112.00
302,1,170,3,2,1,14,acept,furnished,4500.00,85.00,58.00,6343.00
303,1,120,2,2,2,15,acept,furnished,4880.00,264.00,62.00,6249.00
304,1,700,4,5,2,10,acept,furnished,8000.00,402.00,102.00,11500.00
305,1,270,5,7,2,0,acept,not furnished,3978.00,89.00,60.00,4127.00
306,1,40,1,1,0,6,acept,not furnished,3463.00,0.00,32.00,4385.00
307,1,640,4,4,4,12,acept,furnished,10200.00,1584.00,130.00,17310.00
308,1,40,1,1,0,0,acept,not furnished,980.00,59.00,15.00,1054.00
309,1,40,2,1,0,3,acept,not furnished,1100.00,0.00,14.00,1462.00
310,1,42,1,1,1,0,acept,furnished,2000.00,88.00,26.00,2564.00
311,1,62,1,1,0,3,acept,not furnished,2100.00,0.00,27.00,2677.00
312,1,106,2,3,2,18,not acept,furnished,5000.00,250.00,64.00,6264.00
313,1,103,3,2,1,7,acept,not furnished,4400.00,126.00,56.00,5526.00
314,1,360,3,5,3,13,acept,not furnished,8500.00,1500.00,108.00,14410.00
315,1,113,1,1,2,9,acept,furnished,6400.00,0.00,82.00,7132.00
316,1,164,4,4,3,1,acept,not furnished,6000.00,550.00,77.00,8467.00
317,1,110,3,2,3,0,acept,not furnished,2800.00,15.00,43.00,2858.00
318,1,110,2,2,1,8,acept,furnished,4348.00,196.00,56.00,5885.00
319,1,136,4,3,1,3,acept,not furnished,4200.00,312.00,54.00,6366.00
320,0,65,1,1,1,9,acept,not furnished,1200.00,83.00,16.00,1679.00
321,1,62,2,1,1,8,not acept,not furnished,1345.00,35.00,18.00,2133.00
322,0,163,3,5,3,20,acept,not furnished,9800.00,350.00,125.00,11730.00
323,1,47,2,1,1,12,acept,not furnished,1570.00,0.00,20.00,2187.00
324,1,50,1,1,1,1,acept,not furnished,3500.00,213.00,45.00,4553.00
325,1,79,3,2,2,6,acept,furnished,3000.00,209.00,39.00,4148.00
326,1,250,3,3,2,7,not acept,furnished,5380.00,234.00,69.00,7083.00
327,1,50,2,1,1,6,acept,not furnished,1210.00,0.00,16.00,1606.00
328,1,150,3,3,2,0,acept,not furnished,5000.00,235.00,76.00,5311.00
329,0,76,2,1,0,2,acept,not furnished,700.00,100.00,9.00,1109.00
330,1,72,2,2,1,7,acept,not furnished,1800.00,159.00,23.00,2502.00
331,1,35,1,1,1,17,acept,furnished,4000.00,200.00,51.00,5531.00
332,1,250,3,4,4,16,acept,not furnished,10700.00,1224.00,136.00,15480.00
333,0,85,3,1,1,9,not acept,not furnished,1110.00,63.00,15.00,1786.00
334,0,60,1,1,1,14,acept,not furnished,1100.00,49.00,14.00,1746.00
335,0,47,2,1,1,0,acept,not furnished,1290.00,33.00,17.00,1595.00
336,1,104,3,3,2,3,not acept,furnished,9000.00,254.00,115.00,10280.00
337,0,203,3,1,2,0,acept,not furnished,3300.00,117.00,50.00,3467.00
338,1,136,3,2,1,85,acept,not furnished,3500.00,260.00,45.00,5318.00
339,1,53,1,1,1,3,acept,not furnished,4500.00,200.00,58.00,5452.00
340,1,400,4,3,2,0,acept,not furnished,15000.00,1870.00,226.00,17100.00
341,1,40,1,1,1,14,acept,furnished,4200.00,75.00,54.00,4809.00
342,1,38,1,1,0,6,acept,not furnished,1680.00,0.00,22.00,1702.00
343,1,340,4,6,4,8,acept,furnished,2800.00,1667.00,36.00,7603.00
344,0,134,3,3,2,7,not acept,not furnished,2500.00,177.00,32.00,3709.00
345,1,97,2,2,0,9,acept,furnished,3000.00,0.00,39.00,3492.00
346,1,90,1,1,0,0,not acept,not furnished,1150.00,59.00,18.00,1227.00
