"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02541V03076","Component","UNIT","VALUE"
"PEA15","Annual Population Change","1961","1961","06","Net migration","Thousand","-40"
"PEA15","Annual Population Change","1961","1961","07","Population change","Thousand","-13.8"
"PEA15","Annual Population Change","1961","1961","08","Population","Thousand","2818.3"
"PEA15","Annual Population Change","1962","1962","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1962","1962","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1962","1962","03","Natural increase","Thousand","26.8"
"PEA15","Annual Population Change","1962","1962","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1962","1962","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1962","1962","06","Net migration","Thousand","-15"
"PEA15","Annual Population Change","1962","1962","07","Population change","Thousand","11.8"
"PEA15","Annual Population Change","1962","1962","08","Population","Thousand","2830.1"
"PEA15","Annual Population Change","1963","1963","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1963","1963","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1963","1963","03","Natural increase","Thousand","27.9"
"PEA15","Annual Population Change","1963","1963","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1963","1963","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1963","1963","06","Net migration","Thousand","-8"
"PEA15","Annual Population Change","1963","1963","07","Population change","Thousand","19.9"
"PEA15","Annual Population Change","1963","1963","08","Population","Thousand","2850"
"PEA15","Annual Population Change","1964","1964","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1964","1964","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1964","1964","03","Natural increase","Thousand","30.8"
"PEA15","Annual Population Change","1964","1964","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1964","1964","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1964","1964","06","Net migration","Thousand","-17"
"PEA15","Annual Population Change","1964","1964","07","Population change","Thousand","13.8"
"PEA15","Annual Population Change","1964","1964","08","Population","Thousand","2863.8"
"PEA15","Annual Population Change","1965","1965","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1965","1965","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1965","1965","03","Natural increase","Thousand","32"
"PEA15","Annual Population Change","1965","1965","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1965","1965","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1965","1965","06","Net migration","Thousand","-20"
"PEA15","Annual Population Change","1965","1965","07","Population change","Thousand","12"
"PEA15","Annual Population Change","1965","1965","08","Population","Thousand","2875.8"
"PEA15","Annual Population Change","1966","1966","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1966","1966","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1966","1966","03","Natural increase","Thousand","29.2"
"PEA15","Annual Population Change","1966","1966","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1966","1966","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1966","1966","06","Net migration","Thousand","-21"
"PEA15","Annual Population Change","1966","1966","07","Population change","Thousand","8.2"
"PEA15","Annual Population Change","1966","1966","08","Population","Thousand","2884"
"PEA15","Annual Population Change","1967","1967","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1967","1967","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1967","1967","03","Natural increase","Thousand","28.7"
"PEA15","Annual Population Change","1967","1967","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1967","1967","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1967","1967","06","Net migration","Thousand","-13"
"PEA15","Annual Population Change","1967","1967","07","Population change","Thousand","15.7"
"PEA15","Annual Population Change","1967","1967","08","Population","Thousand","2899.7"
"PEA15","Annual Population Change","1968","1968","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1968","1968","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1968","1968","03","Natural increase","Thousand","28.5"
"PEA15","Annual Population Change","1968","1968","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1968","1968","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1968","1968","06","Net migration","Thousand","-16"
"PEA15","Annual Population Change","1968","1968","07","Population change","Thousand","12.5"
"PEA15","Annual Population Change","1968","1968","08","Population","Thousand","2912.2"
"PEA15","Annual Population Change","1969","1969","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1969","1969","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1969","1969","03","Natural increase","Thousand","28"
"PEA15","Annual Population Change","1969","1969","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1969","1969","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1969","1969","06","Net migration","Thousand","-15"
"PEA15","Annual Population Change","1969","1969","07","Population change","Thousand","13"
"PEA15","Annual Population Change","1969","1969","08","Population","Thousand","2925.2"
"PEA15","Annual Population Change","1970","1970","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1970","1970","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1970","1970","03","Natural increase","Thousand","29.7"
"PEA15","Annual Population Change","1970","1970","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1970","1970","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1970","1970","06","Net migration","Thousand","-5"
"PEA15","Annual Population Change","1970","1970","07","Population change","Thousand","24.7"
"PEA15","Annual Population Change","1970","1970","08","Population","Thousand","2949.9"
"PEA15","Annual Population Change","1971","1971","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1971","1971","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1971","1971","03","Natural increase","Thousand","33.3"
"PEA15","Annual Population Change","1971","1971","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1971","1971","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1971","1971","06","Net migration","Thousand","-5"
"PEA15","Annual Population Change","1971","1971","07","Population change","Thousand","28.3"
"PEA15","Annual Population Change","1971","1971","08","Population","Thousand","2978.2"
"PEA15","Annual Population Change","1972","1972","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1972","1972","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1972","1972","03","Natural increase","Thousand","35.2"
"PEA15","Annual Population Change","1972","1972","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1972","1972","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1972","1972","06","Net migration","Thousand","11"
"PEA15","Annual Population Change","1972","1972","07","Population change","Thousand","46.2"
"PEA15","Annual Population Change","1972","1972","08","Population","Thousand","3024.4"
"PEA15","Annual Population Change","1973","1973","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1973","1973","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1973","1973","03","Natural increase","Thousand","35.6"
"PEA15","Annual Population Change","1973","1973","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1973","1973","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1973","1973","06","Net migration","Thousand","13"
"PEA15","Annual Population Change","1973","1973","07","Population change","Thousand","48.6"
"PEA15","Annual Population Change","1973","1973","08","Population","Thousand","3073"
"PEA15","Annual Population Change","1974","1974","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1974","1974","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1974","1974","03","Natural increase","Thousand","34.9"
"PEA15","Annual Population Change","1974","1974","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1974","1974","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1974","1974","06","Net migration","Thousand","16"
"PEA15","Annual Population Change","1974","1974","07","Population change","Thousand","50.9"
"PEA15","Annual Population Change","1974","1974","08","Population","Thousand","3123.9"
"PEA15","Annual Population Change","1975","1975","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1975","1975","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1975","1975","03","Natural increase","Thousand","33.3"
"PEA15","Annual Population Change","1975","1975","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1975","1975","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1975","1975","06","Net migration","Thousand","20"
"PEA15","Annual Population Change","1975","1975","07","Population change","Thousand","53.3"
"PEA15","Annual Population Change","1975","1975","08","Population","Thousand","3177.2"
"PEA15","Annual Population Change","1976","1976","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1976","1976","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1976","1976","03","Natural increase","Thousand","34.6"
"PEA15","Annual Population Change","1976","1976","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1976","1976","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1976","1976","06","Net migration","Thousand","16"
"PEA15","Annual Population Change","1976","1976","07","Population change","Thousand","50.6"
"PEA15","Annual Population Change","1976","1976","08","Population","Thousand","3227.8"
"PEA15","Annual Population Change","1977","1977","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1977","1977","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1977","1977","03","Natural increase","Thousand","34.1"
"PEA15","Annual Population Change","1977","1977","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1977","1977","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1977","1977","06","Net migration","Thousand","10"
"PEA15","Annual Population Change","1977","1977","07","Population change","Thousand","44.1"
"PEA15","Annual Population Change","1977","1977","08","Population","Thousand","3271.9"
"PEA15","Annual Population Change","1978","1978","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1978","1978","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1978","1978","03","Natural increase","Thousand","35.1"
"PEA15","Annual Population Change","1978","1978","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1978","1978","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1978","1978","06","Net migration","Thousand","7"
"PEA15","Annual Population Change","1978","1978","07","Population change","Thousand","42.1"
"PEA15","Annual Population Change","1978","1978","08","Population","Thousand","3314"
"PEA15","Annual Population Change","1979","1979","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1979","1979","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1979","1979","03","Natural increase","Thousand","38.2"
"PEA15","Annual Population Change","1979","1979","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1979","1979","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1979","1979","06","Net migration","Thousand","16"
"PEA15","Annual Population Change","1979","1979","07","Population change","Thousand","54.2"
"PEA15","Annual Population Change","1979","1979","08","Population","Thousand","3368.2"
"PEA15","Annual Population Change","1980","1980","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1980","1980","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1980","1980","03","Natural increase","Thousand","40.8"
"PEA15","Annual Population Change","1980","1980","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1980","1980","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1980","1980","06","Net migration","Thousand","-8"
"PEA15","Annual Population Change","1980","1980","07","Population change","Thousand","32.8"
"PEA15","Annual Population Change","1980","1980","08","Population","Thousand","3401"
"PEA15","Annual Population Change","1981","1981","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1981","1981","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1981","1981","03","Natural increase","Thousand","40.4"
"PEA15","Annual Population Change","1981","1981","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1981","1981","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1981","1981","06","Net migration","Thousand","2"
"PEA15","Annual Population Change","1981","1981","07","Population change","Thousand","42.4"
"PEA15","Annual Population Change","1981","1981","08","Population","Thousand","3443.4"
"PEA15","Annual Population Change","1982","1982","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1982","1982","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1982","1982","03","Natural increase","Thousand","37.6"
"PEA15","Annual Population Change","1982","1982","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1982","1982","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1982","1982","06","Net migration","Thousand","-1"
"PEA15","Annual Population Change","1982","1982","07","Population change","Thousand","36.6"
"PEA15","Annual Population Change","1982","1982","08","Population","Thousand","3480"
"PEA15","Annual Population Change","1983","1983","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1983","1983","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1983","1983","03","Natural increase","Thousand","38"
"PEA15","Annual Population Change","1983","1983","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1983","1983","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1983","1983","06","Net migration","Thousand","-14"
"PEA15","Annual Population Change","1983","1983","07","Population change","Thousand","24"
"PEA15","Annual Population Change","1983","1983","08","Population","Thousand","3504"
"PEA15","Annual Population Change","1984","1984","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1984","1984","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1984","1984","03","Natural increase","Thousand","34"
"PEA15","Annual Population Change","1984","1984","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1984","1984","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1984","1984","06","Net migration","Thousand","-9"
"PEA15","Annual Population Change","1984","1984","07","Population change","Thousand","25"
"PEA15","Annual Population Change","1984","1984","08","Population","Thousand","3529"
"PEA15","Annual Population Change","1985","1985","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1985","1985","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1985","1985","03","Natural increase","Thousand","31"
"PEA15","Annual Population Change","1985","1985","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1985","1985","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1985","1985","06","Net migration","Thousand","-20"
"PEA15","Annual Population Change","1985","1985","07","Population change","Thousand","11"
"PEA15","Annual Population Change","1985","1985","08","Population","Thousand","3540"
"PEA15","Annual Population Change","1986","1986","01","Annual births","Thousand",""
"PEA15","Annual Population Change","1986","1986","02","Annual deaths","Thousand",""
"PEA15","Annual Population Change","1986","1986","03","Natural increase","Thousand","28.6"
"PEA15","Annual Population Change","1986","1986","04","Immigrants","Thousand",""
"PEA15","Annual Population Change","1986","1986","05","Emigrants","Thousand",""
"PEA15","Annual Population Change","1986","1986","06","Net migration","Thousand","-28"
"PEA15","Annual Population Change","1986","1986","07","Population change","Thousand","0.6"
"PEA15","Annual Population Change","1986","1986","08","Population","Thousand","3540.6"
"PEA15","Annual Population Change","1987","1987","01","Annual births","Thousand","61.2"
"PEA15","Annual Population Change","1987","1987","02","Annual deaths","Thousand","32.2"
"PEA15","Annual Population Change","1987","1987","03","Natural increase","Thousand","29"
"PEA15","Annual Population Change","1987","1987","04","Immigrants","Thousand","17.2"
"PEA15","Annual Population Change","1987","1987","05","Emigrants","Thousand","40.2"
"PEA15","Annual Population Change","1987","1987","06","Net migration","Thousand","-23"
"PEA15","Annual Population Change","1987","1987","07","Population change","Thousand","5.9"
"PEA15","Annual Population Change","1987","1987","08","Population","Thousand","3546.5"
"PEA15","Annual Population Change","1988","1988","01","Annual births","Thousand","57.8"
"PEA15","Annual Population Change","1988","1988","02","Annual deaths","Thousand","31.6"
"PEA15","Annual Population Change","1988","1988","03","Natural increase","Thousand","26.2"
"PEA15","Annual Population Change","1988","1988","04","Immigrants","Thousand","19.2"
"PEA15","Annual Population Change","1988","1988","05","Emigrants","Thousand","61.1"
"PEA15","Annual Population Change","1988","1988","06","Net migration","Thousand","-41.9"
"PEA15","Annual Population Change","1988","1988","07","Population change","Thousand","-15.8"
"PEA15","Annual Population Change","1988","1988","08","Population","Thousand","3530.7"
"PEA15","Annual Population Change","1989","1989","01","Annual births","Thousand","53.6"
"PEA15","Annual Population Change","1989","1989","02","Annual deaths","Thousand","31"
"PEA15","Annual Population Change","1989","1989","03","Natural increase","Thousand","22.6"
"PEA15","Annual Population Change","1989","1989","04","Immigrants","Thousand","26.7"
"PEA15","Annual Population Change","1989","1989","05","Emigrants","Thousand","70.6"
"PEA15","Annual Population Change","1989","1989","06","Net migration","Thousand","-43.9"
"PEA15","Annual Population Change","1989","1989","07","Population change","Thousand","-21.2"
"PEA15","Annual Population Change","1989","1989","08","Population","Thousand","3509.5"
"PEA15","Annual Population Change","1990","1990","01","Annual births","Thousand","51.9"
"PEA15","Annual Population Change","1990","1990","02","Annual deaths","Thousand","32.8"
"PEA15","Annual Population Change","1990","1990","03","Natural increase","Thousand","19.1"
"PEA15","Annual Population Change","1990","1990","04","Immigrants","Thousand","33.3"
"PEA15","Annual Population Change","1990","1990","05","Emigrants","Thousand","56.3"
"PEA15","Annual Population Change","1990","1990","06","Net migration","Thousand","-22.9"
"PEA15","Annual Population Change","1990","1990","07","Population change","Thousand","-3.7"
"PEA15","Annual Population Change","1990","1990","08","Population","Thousand","3505.8"
"PEA15","Annual Population Change","1991","1991","01","Annual births","Thousand","53.1"
"PEA15","Annual Population Change","1991","1991","02","Annual deaths","Thousand","31.1"
"PEA15","Annual Population Change","1991","1991","03","Natural increase","Thousand","22"
"PEA15","Annual Population Change","1991","1991","04","Immigrants","Thousand","33.3"
"PEA15","Annual Population Change","1991","1991","05","Emigrants","Thousand","35.3"
"PEA15","Annual Population Change","1991","1991","06","Net migration","Thousand","-2"
"PEA15","Annual Population Change","1991","1991","07","Population change","Thousand","19.9"
"PEA15","Annual Population Change","1991","1991","08","Population","Thousand","3525.7"
"PEA15","Annual Population Change","1992","1992","01","Annual births","Thousand","52.8"
"PEA15","Annual Population Change","1992","1992","02","Annual deaths","Thousand","31.4"
"PEA15","Annual Population Change","1992","1992","03","Natural increase","Thousand","21.4"
"PEA15","Annual Population Change","1992","1992","04","Immigrants","Thousand","40.7"
"PEA15","Annual Population Change","1992","1992","05","Emigrants","Thousand","33.4"
"PEA15","Annual Population Change","1992","1992","06","Net migration","Thousand","7.4"
"PEA15","Annual Population Change","1992","1992","07","Population change","Thousand","28.8"
"PEA15","Annual Population Change","1992","1992","08","Population","Thousand","3554.5"
"PEA15","Annual Population Change","1993","1993","01","Annual births","Thousand","50.4"
"PEA15","Annual Population Change","1993","1993","02","Annual deaths","Thousand","30.4"
"PEA15","Annual Population Change","1993","1993","03","Natural increase","Thousand","20"
"PEA15","Annual Population Change","1993","1993","04","Immigrants","Thousand","34.7"
"PEA15","Annual Population Change","1993","1993","05","Emigrants","Thousand","35.1"
"PEA15","Annual Population Change","1993","1993","06","Net migration","Thousand","-0.4"
"PEA15","Annual Population Change","1993","1993","07","Population change","Thousand","19.6"
"PEA15","Annual Population Change","1993","1993","08","Population","Thousand","3574.1"
"PEA15","Annual Population Change","1994","1994","01","Annual births","Thousand","49.1"
"PEA15","Annual Population Change","1994","1994","02","Annual deaths","Thousand","32.6"
"PEA15","Annual Population Change","1994","1994","03","Natural increase","Thousand","16.6"
"PEA15","Annual Population Change","1994","1994","04","Immigrants","Thousand","30.1"
"PEA15","Annual Population Change","1994","1994","05","Emigrants","Thousand","34.8"
"PEA15","Annual Population Change","1994","1994","06","Net migration","Thousand","-4.7"
"PEA15","Annual Population Change","1994","1994","07","Population change","Thousand","11.8"
"PEA15","Annual Population Change","1994","1994","08","Population","Thousand","3585.9"
"PEA15","Annual Population Change","1995","1995","01","Annual births","Thousand","48.4"
"PEA15","Annual Population Change","1995","1995","02","Annual deaths","Thousand","31.2"
"PEA15","Annual Population Change","1995","1995","03","Natural increase","Thousand","17.2"
"PEA15","Annual Population Change","1995","1995","04","Immigrants","Thousand","31.2"
"PEA15","Annual Population Change","1995","1995","05","Emigrants","Thousand","33.1"
"PEA15","Annual Population Change","1995","1995","06","Net migration","Thousand","-1.9"
"PEA15","Annual Population Change","1995","1995","07","Population change","Thousand","15.4"
"PEA15","Annual Population Change","1995","1995","08","Population","Thousand","3601.3"
"PEA15","Annual Population Change","1996","1996","01","Annual births","Thousand","48.8"
"PEA15","Annual Population Change","1996","1996","02","Annual deaths","Thousand","32"
"PEA15","Annual Population Change","1996","1996","03","Natural increase","Thousand","16.7"
"PEA15","Annual Population Change","1996","1996","04","Immigrants","Thousand","39.2"
"PEA15","Annual Population Change","1996","1996","05","Emigrants","Thousand","31.2"
"PEA15","Annual Population Change","1996","1996","06","Net migration","Thousand","8"
"PEA15","Annual Population Change","1996","1996","07","Population change","Thousand","24.8"
"PEA15","Annual Population Change","1996","1996","08","Population","Thousand","3626.1"
"PEA15","Annual Population Change","1997","1997","01","Annual births","Thousand","50.7"
"PEA15","Annual Population Change","1997","1997","02","Annual deaths","Thousand","31.7"
"PEA15","Annual Population Change","1997","1997","03","Natural increase","Thousand","19"
"PEA15","Annual Population Change","1997","1997","04","Immigrants","Thousand","44.5"
"PEA15","Annual Population Change","1997","1997","05","Emigrants","Thousand","25.3"
"PEA15","Annual Population Change","1997","1997","06","Net migration","Thousand","19.2"
"PEA15","Annual Population Change","1997","1997","07","Population change","Thousand","38.2"
"PEA15","Annual Population Change","1997","1997","08","Population","Thousand","3664.3"
"PEA15","Annual Population Change","1998","1998","01","Annual births","Thousand","52.7"
"PEA15","Annual Population Change","1998","1998","02","Annual deaths","Thousand","31.2"
"PEA15","Annual Population Change","1998","1998","03","Natural increase","Thousand","21.5"
"PEA15","Annual Population Change","1998","1998","04","Immigrants","Thousand","46"
"PEA15","Annual Population Change","1998","1998","05","Emigrants","Thousand","28.6"
"PEA15","Annual Population Change","1998","1998","06","Net migration","Thousand","17.4"
"PEA15","Annual Population Change","1998","1998","07","Population change","Thousand","38.8"
"PEA15","Annual Population Change","1998","1998","08","Population","Thousand","3703.1"
"PEA15","Annual Population Change","1999","1999","01","Annual births","Thousand","53.7"
