"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02719V03286","Country","C02199V02655","Sex","C02542V03077","Origin or Destination","UNIT","VALUE"
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","-","Both sexes","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","1","Male","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","2","Female","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","AU","Australia","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","-","Both sexes","01","Net migration","Thousand","-1.4"
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","-","Both sexes","04","Emigrants: All destinations","Thousand","5.4"
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","-","Both sexes","05","Immigrants: All origins","Thousand","4"
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","1","Male","01","Net migration","Thousand","-0.8"
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","1","Male","04","Emigrants: All destinations","Thousand","2.6"
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","1","Male","05","Immigrants: All origins","Thousand","1.8"
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","2","Female","01","Net migration","Thousand","0.6"
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","2","Female","04","Emigrants: All destinations","Thousand","2.8"
"PEA18","Estimated Migration (Persons in April)","1987","1987","ZZWORX23","Other countries (23)","2","Female","05","Immigrants: All origins","Thousand","2.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","-","Both sexes","01","Net migration","Thousand","-23"
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","-","Both sexes","04","Emigrants: All destinations","Thousand","40.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","-","Both sexes","05","Immigrants: All origins","Thousand","17.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","1","Male","01","Net migration","Thousand","-13.6"
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","2","Female","01","Net migration","Thousand","-15.1"
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","-","All countries","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","01","Net migration","Thousand","-0.9"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","04","Emigrants: All destinations","Thousand","3.1"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","05","Immigrants: All origins","Thousand","2.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","01","Net migration","Thousand","-0.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","04","Emigrants: All destinations","Thousand","1.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","05","Immigrants: All origins","Thousand","1"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","01","Net migration","Thousand","-7.5"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","04","Emigrants: All destinations","Thousand","1.9"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","05","Immigrants: All origins","Thousand","1.2"
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","1","Male","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","2","Female","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1987","1987","E15E2720","EU15 to EU27 (accession countries joined post 2004)","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","-","Both sexes","01","Net migration","Thousand","-30.3"
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","-","Both sexes","04","Emigrants: All destinations","Thousand","40.2"
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","-","Both sexes","05","Immigrants: All origins","Thousand","9.9"
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","1","Male","01","Net migration","Thousand","-18.1"
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","1","Male","04","Emigrants: All destinations","Thousand","23.5"
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","1","Male","05","Immigrants: All origins","Thousand","5.4"
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","2","Female","01","Net migration","Thousand","-12.2"
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","2","Female","04","Emigrants: All destinations","Thousand","16.7"
"PEA18","Estimated Migration (Persons in April)","1988","1988","GB1","United Kingdom (1)","2","Female","05","Immigrants: All origins","Thousand","4.5"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","-","Both sexes","01","Net migration","Thousand","-4.5"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","-","Both sexes","04","Emigrants: All destinations","Thousand","7.9"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","-","Both sexes","05","Immigrants: All origins","Thousand","3.4"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","1","Male","01","Net migration","Thousand","-2.1"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","1","Male","04","Emigrants: All destinations","Thousand","3.8"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","1","Male","05","Immigrants: All origins","Thousand","1.7"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","2","Female","01","Net migration","Thousand","-2.5"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","2","Female","04","Emigrants: All destinations","Thousand","4.2"
"PEA18","Estimated Migration (Persons in April)","1988","1988","US","United States","2","Female","05","Immigrants: All origins","Thousand","1.7"
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","-","Both sexes","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","1","Male","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","2","Female","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","CA","Canada","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","-","Both sexes","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","1","Male","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","2","Female","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","AU","Australia","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","-","Both sexes","01","Net migration","Thousand","-6.8"
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","-","Both sexes","04","Emigrants: All destinations","Thousand","10.2"
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","-","Both sexes","05","Immigrants: All origins","Thousand","3.4"
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","1","Male","01","Net migration","Thousand","-3.7"
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","1","Male","04","Emigrants: All destinations","Thousand","5.3"
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","1","Male","05","Immigrants: All origins","Thousand","1.6"
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","2","Female","01","Net migration","Thousand","3.3"
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","2","Female","04","Emigrants: All destinations","Thousand","5"
"PEA18","Estimated Migration (Persons in April)","1988","1988","ZZWORX23","Other countries (23)","2","Female","05","Immigrants: All origins","Thousand","1.7"
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","-","Both sexes","01","Net migration","Thousand","-41.9"
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","-","Both sexes","04","Emigrants: All destinations","Thousand","61.1"
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","-","Both sexes","05","Immigrants: All origins","Thousand","19.2"
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","1","Male","01","Net migration","Thousand","-24.2"
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","2","Female","01","Net migration","Thousand","-26.7"
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","-","All countries","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","01","Net migration","Thousand","-0.2"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","04","Emigrants: All destinations","Thousand","2.8"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","05","Immigrants: All origins","Thousand","2.6"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","01","Net migration","Thousand","-0.3"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","04","Emigrants: All destinations","Thousand","1.5"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","05","Immigrants: All origins","Thousand","1.2"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","01","Net migration","Thousand","-15.3"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","04","Emigrants: All destinations","Thousand","1.3"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","05","Immigrants: All origins","Thousand","1.4"
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","1","Male","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","2","Female","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1988","1988","E15E2720","EU15 to EU27 (accession countries joined post 2004)","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","-","Both sexes","01","Net migration","Thousand","-34.2"
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","-","Both sexes","04","Emigrants: All destinations","Thousand","48.4"
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","-","Both sexes","05","Immigrants: All origins","Thousand","14.2"
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","1","Male","01","Net migration","Thousand","-21.1"
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","1","Male","04","Emigrants: All destinations","Thousand","28.5"
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","1","Male","05","Immigrants: All origins","Thousand","7.4"
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","2","Female","01","Net migration","Thousand","-13.2"
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","2","Female","04","Emigrants: All destinations","Thousand","19.9"
"PEA18","Estimated Migration (Persons in April)","1989","1989","GB1","United Kingdom (1)","2","Female","05","Immigrants: All origins","Thousand","6.7"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","-","Both sexes","01","Net migration","Thousand","-5.4"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","-","Both sexes","04","Emigrants: All destinations","Thousand","8.2"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","-","Both sexes","05","Immigrants: All origins","Thousand","3.1"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","1","Male","01","Net migration","Thousand","-2.7"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","1","Male","04","Emigrants: All destinations","Thousand","4.3"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","1","Male","05","Immigrants: All origins","Thousand","1.6"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","2","Female","01","Net migration","Thousand","-2.5"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","2","Female","04","Emigrants: All destinations","Thousand","3.9"
"PEA18","Estimated Migration (Persons in April)","1989","1989","US","United States","2","Female","05","Immigrants: All origins","Thousand","1.4"
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","-","Both sexes","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","1","Male","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","2","Female","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","CA","Canada","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","-","Both sexes","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","1","Male","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","2","Female","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","AU","Australia","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","-","Both sexes","01","Net migration","Thousand","-4.2"
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","-","Both sexes","04","Emigrants: All destinations","Thousand","10"
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","-","Both sexes","05","Immigrants: All origins","Thousand","5.8"
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","1","Male","01","Net migration","Thousand","-1.5"
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","1","Male","04","Emigrants: All destinations","Thousand","4.7"
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","1","Male","05","Immigrants: All origins","Thousand","3.2"
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","2","Female","01","Net migration","Thousand","2.6"
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","2","Female","04","Emigrants: All destinations","Thousand","5.3"
"PEA18","Estimated Migration (Persons in April)","1989","1989","ZZWORX23","Other countries (23)","2","Female","05","Immigrants: All origins","Thousand","2.7"
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","-","Both sexes","01","Net migration","Thousand","-43.9"
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","-","Both sexes","04","Emigrants: All destinations","Thousand","70.6"
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","-","Both sexes","05","Immigrants: All origins","Thousand","26.7"
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","1","Male","01","Net migration","Thousand","-25.6"
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","1","Male","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","2","Female","01","Net migration","Thousand","-30.8"
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","-","All countries","2","Female","05","Immigrants: All origins","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","01","Net migration","Thousand","-0.3"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","04","Emigrants: All destinations","Thousand","3.9"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","-","Both sexes","05","Immigrants: All origins","Thousand","3.6"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","01","Net migration","Thousand","-0.3"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","04","Emigrants: All destinations","Thousand","1.7"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","1","Male","05","Immigrants: All origins","Thousand","1.4"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","01","Net migration","Thousand","-17.7"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","04","Emigrants: All destinations","Thousand","2.2"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E1420XIE","EU14 excl Irl (UK & Ireland)","2","Female","05","Immigrants: All origins","Thousand","2.2"
"PEA18","Estimated Migration (Persons in April)","1989","1989","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","01","Net migration","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","04","Emigrants: All destinations","Thousand",""
"PEA18","Estimated Migration (Persons in April)","1989","1989","E15E2720","EU15 to EU27 (accession countries joined post 2004)","-","Both sexes","05","Immigrants: All origins","Thousand",""
