"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C04004V04762","Citizenship","UNIT","VALUE"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.2"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","1","Male","-","All Countries","Thousand","25.7"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.3"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","8.4"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","1","Male","GB","United Kingdom","Thousand","2.3"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","1","Male","IE","Ireland","Thousand","6.1"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.6"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","2","Female","-","All Countries","Thousand","20.6"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.6"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.3"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","2","Female","GB","United Kingdom","Thousand","1.4"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","2","Female","IE","Ireland","Thousand","6.8"
"PEA23","Estimated Emigration (Persons in April)","2007","2007","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.6"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","-","Both sexes","-","All Countries","Thousand","49.2"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","17.2"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","-","Both sexes","GB","United Kingdom","Thousand","3.7"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","-","Both sexes","IE","Ireland","Thousand","13.1"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","1","Male","-","All Countries","Thousand","29.6"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","12.4"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","1","Male","GB","United Kingdom","Thousand","2.5"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","1","Male","IE","Ireland","Thousand","7.1"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.5"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","2","Female","-","All Countries","Thousand","19.6"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.8"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","2","Female","GB","United Kingdom","Thousand","1.3"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","2","Female","IE","Ireland","Thousand","6"
"PEA23","Estimated Emigration (Persons in April)","2008","2008","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.5"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","-","Both sexes","-","All Countries","Thousand","72"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.4"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","30.5"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","-","Both sexes","GB","United Kingdom","Thousand","3.9"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","-","Both sexes","IE","Ireland","Thousand","19.2"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","1","Male","-","All Countries","Thousand","41.9"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","1.9"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","21.1"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","1","Male","GB","United Kingdom","Thousand","2.4"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","1","Male","IE","Ireland","Thousand","12.3"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.3"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","2","Female","-","All Countries","Thousand","30.1"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.5"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","9.5"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","2","Female","GB","United Kingdom","Thousand","1.5"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","2","Female","IE","Ireland","Thousand","6.9"
"PEA23","Estimated Emigration (Persons in April)","2009","2009","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.7"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","-","Both sexes","-","All Countries","Thousand","69.2"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","9"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","19"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","-","Both sexes","GB","United Kingdom","Thousand","3"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","-","Both sexes","IE","Ireland","Thousand","28.9"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.3"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","1","Male","-","All Countries","Thousand","40.6"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","12.8"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","1","Male","GB","United Kingdom","Thousand","1.7"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","1","Male","IE","Ireland","Thousand","16.7"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.4"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","2","Female","-","All Countries","Thousand","28.7"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.2"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","2","Female","GB","United Kingdom","Thousand","1.4"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","2","Female","IE","Ireland","Thousand","12.2"
"PEA23","Estimated Emigration (Persons in April)","2010","2010","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.9"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","-","Both sexes","-","All Countries","Thousand","80.6"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","10.2"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","13.9"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","-","Both sexes","GB","United Kingdom","Thousand","4.6"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","-","Both sexes","IE","Ireland","Thousand","42"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.9"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","1","Male","-","All Countries","Thousand","41.9"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.7"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.8"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","1","Male","GB","United Kingdom","Thousand","1.8"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","1","Male","IE","Ireland","Thousand","24.5"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.1"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","2","Female","-","All Countries","Thousand","38.8"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.6"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.1"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","2","Female","GB","United Kingdom","Thousand","2.8"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","2","Female","IE","Ireland","Thousand","17.5"
"PEA23","Estimated Emigration (Persons in April)","2011","2011","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.8"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","-","Both sexes","-","All Countries","Thousand","83"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.9"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","9"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","-","Both sexes","GB","United Kingdom","Thousand","6.7"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","-","Both sexes","IE","Ireland","Thousand","49.7"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","10.7"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","1","Male","-","All Countries","Thousand","45.9"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.6"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.4"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","1","Male","GB","United Kingdom","Thousand","3.6"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","1","Male","IE","Ireland","Thousand","27.6"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.8"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","2","Female","-","All Countries","Thousand","37.1"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.3"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.6"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","2","Female","GB","United Kingdom","Thousand","3.2"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","2","Female","IE","Ireland","Thousand","22.1"
"PEA23","Estimated Emigration (Persons in April)","2012","2012","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.9"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","-","Both sexes","-","All Countries","Thousand","81.3"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.2"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","8.2"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","-","Both sexes","GB","United Kingdom","Thousand","6.7"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","-","Both sexes","IE","Ireland","Thousand","48.3"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","10.9"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","1","Male","-","All Countries","Thousand","41.6"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.3"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","4"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","1","Male","GB","United Kingdom","Thousand","3.2"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","1","Male","IE","Ireland","Thousand","25.1"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.9"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","2","Female","-","All Countries","Thousand","39.7"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.9"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.2"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","2","Female","GB","United Kingdom","Thousand","3.4"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","2","Female","IE","Ireland","Thousand","23.2"
"PEA23","Estimated Emigration (Persons in April)","2013","2013","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","-","Both sexes","-","All Countries","Thousand","75"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.3"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.6"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","-","Both sexes","GB","United Kingdom","Thousand","5.8"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","-","Both sexes","IE","Ireland","Thousand","45"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","10.2"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","1","Male","-","All Countries","Thousand","38.3"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.9"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.7"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","1","Male","GB","United Kingdom","Thousand","2.7"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","1","Male","IE","Ireland","Thousand","23.4"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.6"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","2","Female","-","All Countries","Thousand","36.6"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.4"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.9"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","2","Female","GB","United Kingdom","Thousand","3.1"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","2","Female","IE","Ireland","Thousand","21.6"
"PEA23","Estimated Emigration (Persons in April)","2014","2014","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.6"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","-","Both sexes","-","All Countries","Thousand","70"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.1"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","-","Both sexes","GB","United Kingdom","Thousand","5.6"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","-","Both sexes","IE","Ireland","Thousand","42.5"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.8"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","1","Male","-","All Countries","Thousand","35.8"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.8"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.5"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","1","Male","GB","United Kingdom","Thousand","2.6"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","1","Male","IE","Ireland","Thousand","21.8"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.2"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","2","Female","-","All Countries","Thousand","34.1"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.2"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.6"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","2","Female","GB","United Kingdom","Thousand","2.9"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","2","Female","IE","Ireland","Thousand","20.7"
"PEA23","Estimated Emigration (Persons in April)","2015","2015","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.6"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","-","Both sexes","-","All Countries","Thousand","66.2"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.7"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.8"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","-","Both sexes","GB","United Kingdom","Thousand","5.2"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","-","Both sexes","IE","Ireland","Thousand","37.1"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.4"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","1","Male","-","All Countries","Thousand","31"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.4"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","3"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","1","Male","GB","United Kingdom","Thousand","2.2"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","1","Male","IE","Ireland","Thousand","17.4"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","2","Female","-","All Countries","Thousand","35.1"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.3"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.8"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","2","Female","GB","United Kingdom","Thousand","3"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","2","Female","IE","Ireland","Thousand","19.7"
"PEA23","Estimated Emigration (Persons in April)","2016","2016","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.4"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","-","Both sexes","-","All Countries","Thousand","56.1"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.7"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","9.1"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","-","Both sexes","GB","United Kingdom","Thousand","4"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","-","Both sexes","IE","Ireland","Thousand","24.7"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.7"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","1","Male","-","All Countries","Thousand","29.5"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.5"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.8"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","1","Male","GB","United Kingdom","Thousand","2.1"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","1","Male","IE","Ireland","Thousand","12.9"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.2"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","2","Female","-","All Countries","Thousand","26.6"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.3"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","2","Female","GB","United Kingdom","Thousand","1.9"
"PEA23","Estimated Emigration (Persons in April)","2017","2017","2","Female","IE","Ireland","Thousand","11.7"
