"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V02508","Age Group","C02199V02655","Sex","C02196V04140","Region","UNIT","VALUE"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","21.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","38.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","25.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","245","5 - 9 years","2","Female","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","10.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","-","State","Thousand","301"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","28.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","29"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","32"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","28.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","43.3"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","72.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","46.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","-","Both sexes","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","20.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","-","State","Thousand","154.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","14.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","14.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","16.3"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","14.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","22.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","37.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","24.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","1","Male","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","10.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","-","State","Thousand","146.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","13.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","14.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","15.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","13.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","21.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","35.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","22.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","265","10 - 14 years","2","Female","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","10"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","-","State","Thousand","281"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","25.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","27.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","29.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","25.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","40.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","72"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","40.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","-","Both sexes","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","18.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","-","State","Thousand","143.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","13.3"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","14.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","15.3"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","13.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","20.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","36.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","20.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","1","Male","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","9.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","-","State","Thousand","137.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","12.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","13.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","14.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","12.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","20.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","35.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","19.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","300","15 - 19 years","2","Female","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","8.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","-","State","Thousand","298.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","23.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","28.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","29.3"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","24.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","42"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","93.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","39.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","-","Both sexes","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","17.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","-","State","Thousand","148.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","12"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","14.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","14.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","12.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","21.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","45.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","19.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","1","Male","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","8.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","-","State","Thousand","149.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","11.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","13.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","14.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","12.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","21"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","47.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","20"
"PEA04","Estimated Population (Persons in April)","2011","2011","365","20 - 24 years","2","Female","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","8.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","-","State","Thousand","362.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","26.3"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","31.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","32.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","28.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","49.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","125.9"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","47.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","-","Both sexes","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","21"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","-","State","Thousand","175.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","12.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","15.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","16.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","13.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","23.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","60.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","22.7"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","1","Male","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","10.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","-","State","Thousand","187.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","13.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","16.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","16.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","14.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","25.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","Thousand","65.5"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid-East","Thousand","25.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","410","25 - 29 years","2","Female","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midland","Thousand","10.8"
"PEA04","Estimated Population (Persons in April)","2011","2011","440","30 - 34 years","-","Both sexes","-","State","Thousand","393.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","440","30 - 34 years","-","Both sexes","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","Thousand","29.1"
"PEA04","Estimated Population (Persons in April)","2011","2011","440","30 - 34 years","-","Both sexes","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","Thousand","34.6"
"PEA04","Estimated Population (Persons in April)","2011","2011","440","30 - 34 years","-","Both sexes","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid-West","Thousand","36.2"
"PEA04","Estimated Population (Persons in April)","2011","2011","440","30 - 34 years","-","Both sexes","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South-East","Thousand","32.4"
"PEA04","Estimated Population (Persons in April)","2011","2011","440","30 - 34 years","-","Both sexes","604546A1-A856-4B9B-AD46-E88B27C27155","South-West","Thousand","54.5"
