"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V03371","Single Year of Age","C02199V02655","Sex","UNIT","VALUE"
"PEA11","Population estimates from 1926","1926","1926","010","10 years","1","Male","Number","29343"
"PEA11","Population estimates from 1926","1926","1926","010","10 years","2","Female","Number","27963"
"PEA11","Population estimates from 1926","1926","1926","011","11 years","-","Both sexes","Number","58483"
"PEA11","Population estimates from 1926","1926","1926","011","11 years","1","Male","Number","29829"
"PEA11","Population estimates from 1926","1926","1926","011","11 years","2","Female","Number","28654"
"PEA11","Population estimates from 1926","1926","1926","012","12 years","-","Both sexes","Number","60297"
"PEA11","Population estimates from 1926","1926","1926","012","12 years","1","Male","Number","30676"
"PEA11","Population estimates from 1926","1926","1926","012","12 years","2","Female","Number","29621"
"PEA11","Population estimates from 1926","1926","1926","013","13 years","-","Both sexes","Number","58645"
"PEA11","Population estimates from 1926","1926","1926","013","13 years","1","Male","Number","29806"
"PEA11","Population estimates from 1926","1926","1926","013","13 years","2","Female","Number","28839"
"PEA11","Population estimates from 1926","1926","1926","014","14 years","-","Both sexes","Number","60802"
"PEA11","Population estimates from 1926","1926","1926","014","14 years","1","Male","Number","31160"
"PEA11","Population estimates from 1926","1926","1926","014","14 years","2","Female","Number","29642"
"PEA11","Population estimates from 1926","1926","1926","015","15 years","-","Both sexes","Number","58983"
"PEA11","Population estimates from 1926","1926","1926","015","15 years","1","Male","Number","30056"
"PEA11","Population estimates from 1926","1926","1926","015","15 years","2","Female","Number","28927"
"PEA11","Population estimates from 1926","1926","1926","016","16 years","-","Both sexes","Number","59698"
"PEA11","Population estimates from 1926","1926","1926","016","16 years","1","Male","Number","30131"
"PEA11","Population estimates from 1926","1926","1926","016","16 years","2","Female","Number","29567"
"PEA11","Population estimates from 1926","1926","1926","017","17 years","-","Both sexes","Number","56393"
"PEA11","Population estimates from 1926","1926","1926","017","17 years","1","Male","Number","28511"
"PEA11","Population estimates from 1926","1926","1926","017","17 years","2","Female","Number","27882"
"PEA11","Population estimates from 1926","1926","1926","018","18 years","-","Both sexes","Number","57340"
"PEA11","Population estimates from 1926","1926","1926","018","18 years","1","Male","Number","29086"
"PEA11","Population estimates from 1926","1926","1926","018","18 years","2","Female","Number","28254"
"PEA11","Population estimates from 1926","1926","1926","019","19 years","-","Both sexes","Number","53773"
"PEA11","Population estimates from 1926","1926","1926","019","19 years","1","Male","Number","28263"
"PEA11","Population estimates from 1926","1926","1926","019","19 years","2","Female","Number","25510"
"PEA11","Population estimates from 1926","1926","1926","020","20 years","-","Both sexes","Number","54015"
"PEA11","Population estimates from 1926","1926","1926","020","20 years","1","Male","Number","28127"
"PEA11","Population estimates from 1926","1926","1926","020","20 years","2","Female","Number","25888"
"PEA11","Population estimates from 1926","1926","1926","021","21 years","-","Both sexes","Number","48271"
"PEA11","Population estimates from 1926","1926","1926","021","21 years","1","Male","Number","25780"
"PEA11","Population estimates from 1926","1926","1926","021","21 years","2","Female","Number","22491"
"PEA11","Population estimates from 1926","1926","1926","022","22 years","-","Both sexes","Number","48370"
"PEA11","Population estimates from 1926","1926","1926","022","22 years","1","Male","Number","25224"
"PEA11","Population estimates from 1926","1926","1926","022","22 years","2","Female","Number","23146"
"PEA11","Population estimates from 1926","1926","1926","023","23 years","-","Both sexes","Number","44596"
"PEA11","Population estimates from 1926","1926","1926","023","23 years","1","Male","Number","22905"
"PEA11","Population estimates from 1926","1926","1926","023","23 years","2","Female","Number","21691"
"PEA11","Population estimates from 1926","1926","1926","024","24 years","-","Both sexes","Number","44979"
"PEA11","Population estimates from 1926","1926","1926","024","24 years","1","Male","Number","22482"
"PEA11","Population estimates from 1926","1926","1926","024","24 years","2","Female","Number","22497"
"PEA11","Population estimates from 1926","1926","1926","025","25 years","-","Both sexes","Number","46445"
"PEA11","Population estimates from 1926","1926","1926","025","25 years","1","Male","Number","23344"
"PEA11","Population estimates from 1926","1926","1926","025","25 years","2","Female","Number","23101"
"PEA11","Population estimates from 1926","1926","1926","026","26 years","-","Both sexes","Number","46107"
"PEA11","Population estimates from 1926","1926","1926","026","26 years","1","Male","Number","22809"
"PEA11","Population estimates from 1926","1926","1926","026","26 years","2","Female","Number","23298"
"PEA11","Population estimates from 1926","1926","1926","027","27 years","-","Both sexes","Number","41050"
"PEA11","Population estimates from 1926","1926","1926","027","27 years","1","Male","Number","20326"
"PEA11","Population estimates from 1926","1926","1926","027","27 years","2","Female","Number","20724"
"PEA11","Population estimates from 1926","1926","1926","028","28 years","-","Both sexes","Number","45195"
"PEA11","Population estimates from 1926","1926","1926","028","28 years","1","Male","Number","22166"
"PEA11","Population estimates from 1926","1926","1926","028","28 years","2","Female","Number","23029"
"PEA11","Population estimates from 1926","1926","1926","029","29 years","-","Both sexes","Number","36604"
"PEA11","Population estimates from 1926","1926","1926","029","29 years","1","Male","Number","18001"
"PEA11","Population estimates from 1926","1926","1926","029","29 years","2","Female","Number","18603"
"PEA11","Population estimates from 1926","1926","1926","030","30 years","-","Both sexes","Number","53628"
"PEA11","Population estimates from 1926","1926","1926","030","30 years","1","Male","Number","26271"
"PEA11","Population estimates from 1926","1926","1926","030","30 years","2","Female","Number","27357"
"PEA11","Population estimates from 1926","1926","1926","031","31 years","-","Both sexes","Number","28054"
"PEA11","Population estimates from 1926","1926","1926","031","31 years","1","Male","Number","14666"
"PEA11","Population estimates from 1926","1926","1926","031","31 years","2","Female","Number","13388"
"PEA11","Population estimates from 1926","1926","1926","032","32 years","-","Both sexes","Number","37027"
"PEA11","Population estimates from 1926","1926","1926","032","32 years","1","Male","Number","18615"
"PEA11","Population estimates from 1926","1926","1926","032","32 years","2","Female","Number","18412"
"PEA11","Population estimates from 1926","1926","1926","033","33 years","-","Both sexes","Number","31156"
"PEA11","Population estimates from 1926","1926","1926","033","33 years","1","Male","Number","15937"
"PEA11","Population estimates from 1926","1926","1926","033","33 years","2","Female","Number","15219"
"PEA11","Population estimates from 1926","1926","1926","034","34 years","-","Both sexes","Number","33435"
"PEA11","Population estimates from 1926","1926","1926","034","34 years","1","Male","Number","17013"
"PEA11","Population estimates from 1926","1926","1926","034","34 years","2","Female","Number","16422"
"PEA11","Population estimates from 1926","1926","1926","035","35 years","-","Both sexes","Number","40392"
"PEA11","Population estimates from 1926","1926","1926","035","35 years","1","Male","Number","20502"
"PEA11","Population estimates from 1926","1926","1926","035","35 years","2","Female","Number","19890"
"PEA11","Population estimates from 1926","1926","1926","036","36 years","-","Both sexes","Number","36880"
"PEA11","Population estimates from 1926","1926","1926","036","36 years","1","Male","Number","18353"
"PEA11","Population estimates from 1926","1926","1926","036","36 years","2","Female","Number","18527"
"PEA11","Population estimates from 1926","1926","1926","037","37 years","-","Both sexes","Number","29766"
"PEA11","Population estimates from 1926","1926","1926","037","37 years","1","Male","Number","14983"
"PEA11","Population estimates from 1926","1926","1926","037","37 years","2","Female","Number","14783"
"PEA11","Population estimates from 1926","1926","1926","038","38 years","-","Both sexes","Number","38959"
"PEA11","Population estimates from 1926","1926","1926","038","38 years","1","Male","Number","18961"
"PEA11","Population estimates from 1926","1926","1926","038","38 years","2","Female","Number","19998"
"PEA11","Population estimates from 1926","1926","1926","039","39 years","-","Both sexes","Number","29762"
"PEA11","Population estimates from 1926","1926","1926","039","39 years","1","Male","Number","14550"
"PEA11","Population estimates from 1926","1926","1926","039","39 years","2","Female","Number","15212"
"PEA11","Population estimates from 1926","1926","1926","040","40 years","-","Both sexes","Number","56694"
"PEA11","Population estimates from 1926","1926","1926","040","40 years","1","Male","Number","28589"
"PEA11","Population estimates from 1926","1926","1926","040","40 years","2","Female","Number","28105"
"PEA11","Population estimates from 1926","1926","1926","041","41 years","-","Both sexes","Number","22112"
"PEA11","Population estimates from 1926","1926","1926","041","41 years","1","Male","Number","11702"
"PEA11","Population estimates from 1926","1926","1926","041","41 years","2","Female","Number","10410"
"PEA11","Population estimates from 1926","1926","1926","042","42 years","-","Both sexes","Number","33230"
"PEA11","Population estimates from 1926","1926","1926","042","42 years","1","Male","Number","16819"
"PEA11","Population estimates from 1926","1926","1926","042","42 years","2","Female","Number","16411"
"PEA11","Population estimates from 1926","1926","1926","043","43 years","-","Both sexes","Number","28341"
"PEA11","Population estimates from 1926","1926","1926","043","43 years","1","Male","Number","14276"
"PEA11","Population estimates from 1926","1926","1926","043","43 years","2","Female","Number","14065"
"PEA11","Population estimates from 1926","1926","1926","044","44 years","-","Both sexes","Number","28708"
"PEA11","Population estimates from 1926","1926","1926","044","44 years","1","Male","Number","14664"
"PEA11","Population estimates from 1926","1926","1926","044","44 years","2","Female","Number","14044"
"PEA11","Population estimates from 1926","1926","1926","045","45 years","-","Both sexes","Number","44301"
"PEA11","Population estimates from 1926","1926","1926","045","45 years","1","Male","Number","23470"
"PEA11","Population estimates from 1926","1926","1926","045","45 years","2","Female","Number","20831"
"PEA11","Population estimates from 1926","1926","1926","046","46 years","-","Both sexes","Number","33187"
"PEA11","Population estimates from 1926","1926","1926","046","46 years","1","Male","Number","16884"
"PEA11","Population estimates from 1926","1926","1926","046","46 years","2","Female","Number","16303"
"PEA11","Population estimates from 1926","1926","1926","047","47 years","-","Both sexes","Number","28578"
"PEA11","Population estimates from 1926","1926","1926","047","47 years","1","Male","Number","14750"
"PEA11","Population estimates from 1926","1926","1926","047","47 years","2","Female","Number","13828"
"PEA11","Population estimates from 1926","1926","1926","048","48 years","-","Both sexes","Number","35749"
"PEA11","Population estimates from 1926","1926","1926","048","48 years","1","Male","Number","18068"
"PEA11","Population estimates from 1926","1926","1926","048","48 years","2","Female","Number","17681"
"PEA11","Population estimates from 1926","1926","1926","049","49 years","-","Both sexes","Number","27078"
"PEA11","Population estimates from 1926","1926","1926","049","49 years","1","Male","Number","13838"
"PEA11","Population estimates from 1926","1926","1926","049","49 years","2","Female","Number","13240"
"PEA11","Population estimates from 1926","1926","1926","050","50 years","-","Both sexes","Number","60003"
"PEA11","Population estimates from 1926","1926","1926","050","50 years","1","Male","Number","31170"
"PEA11","Population estimates from 1926","1926","1926","050","50 years","2","Female","Number","28833"
"PEA11","Population estimates from 1926","1926","1926","051","51 years","-","Both sexes","Number","20405"
"PEA11","Population estimates from 1926","1926","1926","051","51 years","1","Male","Number","11135"
"PEA11","Population estimates from 1926","1926","1926","051","51 years","2","Female","Number","9270"
"PEA11","Population estimates from 1926","1926","1926","052","52 years","-","Both sexes","Number","30041"
"PEA11","Population estimates from 1926","1926","1926","052","52 years","1","Male","Number","15904"
"PEA11","Population estimates from 1926","1926","1926","052","52 years","2","Female","Number","14137"
"PEA11","Population estimates from 1926","1926","1926","053","53 years","-","Both sexes","Number","24451"
"PEA11","Population estimates from 1926","1926","1926","053","53 years","1","Male","Number","12959"
"PEA11","Population estimates from 1926","1926","1926","053","53 years","2","Female","Number","11492"
"PEA11","Population estimates from 1926","1926","1926","054","54 years","-","Both sexes","Number","27818"
"PEA11","Population estimates from 1926","1926","1926","054","54 years","1","Male","Number","14480"
"PEA11","Population estimates from 1926","1926","1926","054","54 years","2","Female","Number","13338"
"PEA11","Population estimates from 1926","1926","1926","055","55 years","-","Both sexes","Number","32198"
"PEA11","Population estimates from 1926","1926","1926","055","55 years","1","Male","Number","17606"
"PEA11","Population estimates from 1926","1926","1926","055","55 years","2","Female","Number","14592"
"PEA11","Population estimates from 1926","1926","1926","056","56 years","-","Both sexes","Number","29895"
"PEA11","Population estimates from 1926","1926","1926","056","56 years","1","Male","Number","15826"
"PEA11","Population estimates from 1926","1926","1926","056","56 years","2","Female","Number","14069"
"PEA11","Population estimates from 1926","1926","1926","057","57 years","-","Both sexes","Number","19904"
"PEA11","Population estimates from 1926","1926","1926","057","57 years","1","Male","Number","10540"
"PEA11","Population estimates from 1926","1926","1926","057","57 years","2","Female","Number","9364"
"PEA11","Population estimates from 1926","1926","1926","058","58 years","-","Both sexes","Number","25520"
"PEA11","Population estimates from 1926","1926","1926","058","58 years","1","Male","Number","13508"
"PEA11","Population estimates from 1926","1926","1926","058","58 years","2","Female","Number","12012"
"PEA11","Population estimates from 1926","1926","1926","059","59 years","-","Both sexes","Number","18196"
"PEA11","Population estimates from 1926","1926","1926","059","59 years","1","Male","Number","9641"
"PEA11","Population estimates from 1926","1926","1926","059","59 years","2","Female","Number","8555"
"PEA11","Population estimates from 1926","1926","1926","060","60 years","-","Both sexes","Number","39785"
"PEA11","Population estimates from 1926","1926","1926","060","60 years","1","Male","Number","20141"
"PEA11","Population estimates from 1926","1926","1926","060","60 years","2","Female","Number","19644"
"PEA11","Population estimates from 1926","1926","1926","061","61 years","-","Both sexes","Number","12779"
"PEA11","Population estimates from 1926","1926","1926","061","61 years","1","Male","Number","6720"
"PEA11","Population estimates from 1926","1926","1926","061","61 years","2","Female","Number","6059"
"PEA11","Population estimates from 1926","1926","1926","062","62 years","-","Both sexes","Number","18016"
"PEA11","Population estimates from 1926","1926","1926","062","62 years","1","Male","Number","9162"
"PEA11","Population estimates from 1926","1926","1926","062","62 years","2","Female","Number","8854"
"PEA11","Population estimates from 1926","1926","1926","063","63 years","-","Both sexes","Number","16167"
"PEA11","Population estimates from 1926","1926","1926","063","63 years","1","Male","Number","8212"
"PEA11","Population estimates from 1926","1926","1926","063","63 years","2","Female","Number","7955"
"PEA11","Population estimates from 1926","1926","1926","064","64 years","-","Both sexes","Number","18399"
"PEA11","Population estimates from 1926","1926","1926","064","64 years","1","Male","Number","9436"
"PEA11","Population estimates from 1926","1926","1926","064","64 years","2","Female","Number","8963"
"PEA11","Population estimates from 1926","1926","1926","065","65 years","-","Both sexes","Number","24561"
"PEA11","Population estimates from 1926","1926","1926","065","65 years","1","Male","Number","12619"
"PEA11","Population estimates from 1926","1926","1926","065","65 years","2","Female","Number","11942"
"PEA11","Population estimates from 1926","1926","1926","066","66 years","-","Both sexes","Number","18220"
"PEA11","Population estimates from 1926","1926","1926","066","66 years","1","Male","Number","9348"
"PEA11","Population estimates from 1926","1926","1926","066","66 years","2","Female","Number","8872"
"PEA11","Population estimates from 1926","1926","1926","067","67 years","-","Both sexes","Number","16235"
"PEA11","Population estimates from 1926","1926","1926","067","67 years","1","Male","Number","8316"
"PEA11","Population estimates from 1926","1926","1926","067","67 years","2","Female","Number","7919"
"PEA11","Population estimates from 1926","1926","1926","068","68 years","-","Both sexes","Number","22263"
"PEA11","Population estimates from 1926","1926","1926","068","68 years","1","Male","Number","11273"
"PEA11","Population estimates from 1926","1926","1926","068","68 years","2","Female","Number","10990"
"PEA11","Population estimates from 1926","1926","1926","069","69 years","-","Both sexes","Number","19933"
"PEA11","Population estimates from 1926","1926","1926","069","69 years","1","Male","Number","9943"
"PEA11","Population estimates from 1926","1926","1926","069","69 years","2","Female","Number","9990"
"PEA11","Population estimates from 1926","1926","1926","070","70 years","-","Both sexes","Number","24252"
"PEA11","Population estimates from 1926","1926","1926","070","70 years","1","Male","Number","11184"
"PEA11","Population estimates from 1926","1926","1926","070","70 years","2","Female","Number","13068"
"PEA11","Population estimates from 1926","1926","1926","071","71 years","-","Both sexes","Number","13898"
"PEA11","Population estimates from 1926","1926","1926","071","71 years","1","Male","Number","6504"
"PEA11","Population estimates from 1926","1926","1926","071","71 years","2","Female","Number","7394"
"PEA11","Population estimates from 1926","1926","1926","072","72 years","-","Both sexes","Number","16703"
"PEA11","Population estimates from 1926","1926","1926","072","72 years","1","Male","Number","7437"
"PEA11","Population estimates from 1926","1926","1926","072","72 years","2","Female","Number","9266"
"PEA11","Population estimates from 1926","1926","1926","073","73 years","-","Both sexes","Number","14301"
"PEA11","Population estimates from 1926","1926","1926","073","73 years","1","Male","Number","6549"
"PEA11","Population estimates from 1926","1926","1926","073","73 years","2","Female","Number","7752"
"PEA11","Population estimates from 1926","1926","1926","074","74 years","-","Both sexes","Number","13092"
"PEA11","Population estimates from 1926","1926","1926","074","74 years","1","Male","Number","5811"
"PEA11","Population estimates from 1926","1926","1926","074","74 years","2","Female","Number","7281"
"PEA11","Population estimates from 1926","1926","1926","075","75 years","-","Both sexes","Number","13729"
"PEA11","Population estimates from 1926","1926","1926","075","75 years","1","Male","Number","6298"
"PEA11","Population estimates from 1926","1926","1926","075","75 years","2","Female","Number","7431"
"PEA11","Population estimates from 1926","1926","1926","076","76 years","-","Both sexes","Number","11282"
"PEA11","Population estimates from 1926","1926","1926","076","76 years","1","Male","Number","5048"
"PEA11","Population estimates from 1926","1926","1926","076","76 years","2","Female","Number","6234"
"PEA11","Population estimates from 1926","1926","1926","077","77 years","-","Both sexes","Number","7371"
"PEA11","Population estimates from 1926","1926","1926","077","77 years","1","Male","Number","3364"
"PEA11","Population estimates from 1926","1926","1926","077","77 years","2","Female","Number","4007"
"PEA11","Population estimates from 1926","1926","1926","078","78 years","-","Both sexes","Number","8056"
"PEA11","Population estimates from 1926","1926","1926","078","78 years","1","Male","Number","3666"
"PEA11","Population estimates from 1926","1926","1926","078","78 years","2","Female","Number","4390"
"PEA11","Population estimates from 1926","1926","1926","079","79 years","-","Both sexes","Number","5529"
"PEA11","Population estimates from 1926","1926","1926","079","79 years","1","Male","Number","2550"
"PEA11","Population estimates from 1926","1926","1926","079","79 years","2","Female","Number","2979"
"PEA11","Population estimates from 1926","1926","1926","080","80 years","-","Both sexes","Number","10026"
"PEA11","Population estimates from 1926","1926","1926","080","80 years","1","Male","Number","4312"
"PEA11","Population estimates from 1926","1926","1926","080","80 years","2","Female","Number","5714"
"PEA11","Population estimates from 1926","1926","1926","081","81 years","-","Both sexes","Number","4156"
"PEA11","Population estimates from 1926","1926","1926","081","81 years","1","Male","Number","1916"
"PEA11","Population estimates from 1926","1926","1926","081","81 years","2","Female","Number","2240"
"PEA11","Population estimates from 1926","1926","1926","082","82 years","-","Both sexes","Number","5036"
"PEA11","Population estimates from 1926","1926","1926","082","82 years","1","Male","Number","2197"
"PEA11","Population estimates from 1926","1926","1926","082","82 years","2","Female","Number","2839"
"PEA11","Population estimates from 1926","1926","1926","083","83 years","-","Both sexes","Number","3692"
"PEA11","Population estimates from 1926","1926","1926","083","83 years","1","Male","Number","1678"
"PEA11","Population estimates from 1926","1926","1926","083","83 years","2","Female","Number","2014"
"PEA11","Population estimates from 1926","1926","1926","084","84 years","-","Both sexes","Number","4487"
"PEA11","Population estimates from 1926","1926","1926","084","84 years","1","Male","Number","1979"
"PEA11","Population estimates from 1926","1926","1926","084","84 years","2","Female","Number","2508"
"PEA11","Population estimates from 1926","1926","1926","085","85 years","-","Both sexes","Number","3421"
"PEA11","Population estimates from 1926","1926","1926","085","85 years","1","Male","Number","1573"
"PEA11","Population estimates from 1926","1926","1926","085","85 years","2","Female","Number","1848"
"PEA11","Population estimates from 1926","1926","1926","086","86 years","-","Both sexes","Number","3205"
"PEA11","Population estimates from 1926","1926","1926","086","86 years","1","Male","Number","1429"
"PEA11","Population estimates from 1926","1926","1926","086","86 years","2","Female","Number","1776"
"PEA11","Population estimates from 1926","1926","1926","087","87 years","-","Both sexes","Number","2243"
"PEA11","Population estimates from 1926","1926","1926","087","87 years","1","Male","Number","989"
"PEA11","Population estimates from 1926","1926","1926","087","87 years","2","Female","Number","1254"
"PEA11","Population estimates from 1926","1926","1926","088","88 years","-","Both sexes","Number","1516"
"PEA11","Population estimates from 1926","1926","1926","088","88 years","1","Male","Number","646"
"PEA11","Population estimates from 1926","1926","1926","088","88 years","2","Female","Number","870"
"PEA11","Population estimates from 1926","1926","1926","089","89 years","-","Both sexes","Number","910"
"PEA11","Population estimates from 1926","1926","1926","089","89 years","1","Male","Number","407"
"PEA11","Population estimates from 1926","1926","1926","089","89 years","2","Female","Number","503"
"PEA11","Population estimates from 1926","1926","1926","090","90 years","-","Both sexes","Number","1348"
"PEA11","Population estimates from 1926","1926","1926","090","90 years","1","Male","Number","559"
"PEA11","Population estimates from 1926","1926","1926","090","90 years","2","Female","Number","789"
"PEA11","Population estimates from 1926","1926","1926","091","91 years","-","Both sexes","Number","398"
"PEA11","Population estimates from 1926","1926","1926","091","91 years","1","Male","Number","176"
"PEA11","Population estimates from 1926","1926","1926","091","91 years","2","Female","Number","222"
"PEA11","Population estimates from 1926","1926","1926","092","92 years","-","Both sexes","Number","430"
"PEA11","Population estimates from 1926","1926","1926","092","92 years","1","Male","Number","188"
"PEA11","Population estimates from 1926","1926","1926","092","92 years","2","Female","Number","242"
"PEA11","Population estimates from 1926","1926","1926","093","93 years","-","Both sexes","Number","286"
"PEA11","Population estimates from 1926","1926","1926","093","93 years","1","Male","Number","139"
"PEA11","Population estimates from 1926","1926","1926","093","93 years","2","Female","Number","147"
"PEA11","Population estimates from 1926","1926","1926","094","94 years","-","Both sexes","Number","277"
"PEA11","Population estimates from 1926","1926","1926","094","94 years","1","Male","Number","121"
"PEA11","Population estimates from 1926","1926","1926","094","94 years","2","Female","Number","156"
"PEA11","Population estimates from 1926","1926","1926","095","95 years","-","Both sexes","Number","244"
"PEA11","Population estimates from 1926","1926","1926","095","95 years","1","Male","Number","114"
"PEA11","Population estimates from 1926","1926","1926","095","95 years","2","Female","Number","130"
"PEA11","Population estimates from 1926","1926","1926","096","96 years","-","Both sexes","Number","187"
"PEA11","Population estimates from 1926","1926","1926","096","96 years","1","Male","Number","82"
"PEA11","Population estimates from 1926","1926","1926","096","96 years","2","Female","Number","105"
"PEA11","Population estimates from 1926","1926","1926","097","97 years","-","Both sexes","Number","110"
"PEA11","Population estimates from 1926","1926","1926","097","97 years","1","Male","Number","50"
"PEA11","Population estimates from 1926","1926","1926","097","97 years","2","Female","Number","60"
"PEA11","Population estimates from 1926","1926","1926","098","98 years","-","Both sexes","Number","105"
"PEA11","Population estimates from 1926","1926","1926","098","98 years","1","Male","Number","49"
"PEA11","Population estimates from 1926","1926","1926","098","98 years","2","Female","Number","56"
"PEA11","Population estimates from 1926","1926","1926","646","99 years and over","-","Both sexes","Number","178"
"PEA11","Population estimates from 1926","1926","1926","646","99 years and over","1","Male","Number","62"
"PEA11","Population estimates from 1926","1926","1926","646","99 years and over","2","Female","Number","116"
"PEA11","Population estimates from 1926","1936","1936","-","All ages","-","Both sexes","Number","2968420"
"PEA11","Population estimates from 1926","1936","1936","-","All ages","1","Male","Number","1520454"
"PEA11","Population estimates from 1926","1936","1936","-","All ages","2","Female","Number","1447966"
"PEA11","Population estimates from 1926","1936","1936","200","Under 1 year","-","Both sexes","Number","53606"
"PEA11","Population estimates from 1926","1936","1936","200","Under 1 year","1","Male","Number","27152"
"PEA11","Population estimates from 1926","1936","1936","200","Under 1 year","2","Female","Number","26454"
"PEA11","Population estimates from 1926","1936","1936","001","1 year","-","Both sexes","Number","53495"
"PEA11","Population estimates from 1926","1936","1936","001","1 year","1","Male","Number","27228"
"PEA11","Population estimates from 1926","1936","1936","001","1 year","2","Female","Number","26267"
"PEA11","Population estimates from 1926","1936","1936","002","2 years","-","Both sexes","Number","54394"
"PEA11","Population estimates from 1926","1936","1936","002","2 years","1","Male","Number","27664"
"PEA11","Population estimates from 1926","1936","1936","002","2 years","2","Female","Number","26730"
"PEA11","Population estimates from 1926","1936","1936","003","3 years","-","Both sexes","Number","53015"
"PEA11","Population estimates from 1926","1936","1936","003","3 years","1","Male","Number","26934"
"PEA11","Population estimates from 1926","1936","1936","003","3 years","2","Female","Number","26081"
"PEA11","Population estimates from 1926","1936","1936","004","4 years","-","Both sexes","Number","53756"
"PEA11","Population estimates from 1926","1936","1936","004","4 years","1","Male","Number","27387"
"PEA11","Population estimates from 1926","1936","1936","004","4 years","2","Female","Number","26369"
"PEA11","Population estimates from 1926","1936","1936","005","5 years","-","Both sexes","Number","54364"
"PEA11","Population estimates from 1926","1936","1936","005","5 years","1","Male","Number","27598"
"PEA11","Population estimates from 1926","1936","1936","005","5 years","2","Female","Number","26766"
"PEA11","Population estimates from 1926","1936","1936","006","6 years","-","Both sexes","Number","53302"
"PEA11","Population estimates from 1926","1936","1936","006","6 years","1","Male","Number","27063"
"PEA11","Population estimates from 1926","1936","1936","006","6 years","2","Female","Number","26239"
"PEA11","Population estimates from 1926","1936","1936","007","7 years","-","Both sexes","Number","53415"
"PEA11","Population estimates from 1926","1936","1936","007","7 years","1","Male","Number","27067"
"PEA11","Population estimates from 1926","1936","1936","007","7 years","2","Female","Number","26348"
"PEA11","Population estimates from 1926","1936","1936","008","8 years","-","Both sexes","Number","54105"
"PEA11","Population estimates from 1926","1936","1936","008","8 years","1","Male","Number","27484"
"PEA11","Population estimates from 1926","1936","1936","008","8 years","2","Female","Number","26621"
"PEA11","Population estimates from 1926","1936","1936","009","9 years","-","Both sexes","Number","54159"
"PEA11","Population estimates from 1926","1936","1936","009","9 years","1","Male","Number","27136"
"PEA11","Population estimates from 1926","1936","1936","009","9 years","2","Female","Number","27023"
"PEA11","Population estimates from 1926","1936","1936","010","10 years","-","Both sexes","Number","55553"
"PEA11","Population estimates from 1926","1936","1936","010","10 years","1","Male","Number","28195"
