"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V03371","Age Group","C02199V02655","Sex","C02542V03077","Inward or Outward Flow","UNIT","VALUE"
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","2","Female","04","Emigrants: All destinations","Thousand","1.3"
"PEA03","Estimated Migration (Persons in April)","1987","1987","215","0 - 14 years","2","Female","05","Immigrants: All origins","Thousand","1.8"
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","24"
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","5.1"
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","12.3"
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","1.9"
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","11.7"
"PEA03","Estimated Migration (Persons in April)","1987","1987","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","3.2"
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","11.8"
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","-","Both sexes","05","Immigrants: All origins","Thousand","6.1"
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","1","Male","04","Emigrants: All destinations","Thousand","6.9"
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","1","Male","05","Immigrants: All origins","Thousand","3.4"
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","2","Female","04","Emigrants: All destinations","Thousand","4.9"
"PEA03","Estimated Migration (Persons in April)","1987","1987","420","25 - 44 years","2","Female","05","Immigrants: All origins","Thousand","2.7"
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","-","Both sexes","04","Emigrants: All destinations","Thousand","1.7"
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","-","Both sexes","05","Immigrants: All origins","Thousand","1.8"
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","1","Male","04","Emigrants: All destinations","Thousand","1"
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","1","Male","05","Immigrants: All origins","Thousand","1"
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","2","Female","04","Emigrants: All destinations","Thousand","0.7"
"PEA03","Estimated Migration (Persons in April)","1987","1987","505","45 - 64 years","2","Female","05","Immigrants: All origins","Thousand","0.8"
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","-","Both sexes","05","Immigrants: All origins","Thousand","1.1"
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","1","Male","05","Immigrants: All origins","Thousand","0.5"
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1987","1987","575","65 years and over","2","Female","05","Immigrants: All origins","Thousand","0.6"
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","-","Both sexes","01","Net migration","Thousand","-41.9"
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","61.1"
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","19.2"
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","-","Both sexes","04","Emigrants: All destinations","Thousand","8.3"
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","-","Both sexes","05","Immigrants: All origins","Thousand","3"
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","1","Male","04","Emigrants: All destinations","Thousand","4.3"
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","1","Male","05","Immigrants: All origins","Thousand","1.5"
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","2","Female","04","Emigrants: All destinations","Thousand","4"
"PEA03","Estimated Migration (Persons in April)","1988","1988","215","0 - 14 years","2","Female","05","Immigrants: All origins","Thousand","1.5"
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","31.2"
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","5.4"
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","17"
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","2.4"
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","14.3"
"PEA03","Estimated Migration (Persons in April)","1988","1988","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","3"
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","18.3"
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","-","Both sexes","05","Immigrants: All origins","Thousand","7.2"
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","1","Male","04","Emigrants: All destinations","Thousand","11"
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","1","Male","05","Immigrants: All origins","Thousand","4"
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","2","Female","04","Emigrants: All destinations","Thousand","7.3"
"PEA03","Estimated Migration (Persons in April)","1988","1988","420","25 - 44 years","2","Female","05","Immigrants: All origins","Thousand","3.2"
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","-","Both sexes","04","Emigrants: All destinations","Thousand","3.2"
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","-","Both sexes","05","Immigrants: All origins","Thousand","2.2"
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","1","Male","04","Emigrants: All destinations","Thousand","1.6"
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","1","Male","05","Immigrants: All origins","Thousand","1.1"
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","2","Female","04","Emigrants: All destinations","Thousand","1.6"
"PEA03","Estimated Migration (Persons in April)","1988","1988","505","45 - 64 years","2","Female","05","Immigrants: All origins","Thousand","1"
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","-","Both sexes","05","Immigrants: All origins","Thousand","1.4"
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","1","Male","05","Immigrants: All origins","Thousand","0.9"
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1988","1988","575","65 years and over","2","Female","05","Immigrants: All origins","Thousand","0.5"
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","-","Both sexes","01","Net migration","Thousand","-43.9"
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","70.6"
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","26.7"
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","-","Both sexes","04","Emigrants: All destinations","Thousand","7.8"
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","-","Both sexes","05","Immigrants: All origins","Thousand","4.4"
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","1","Male","04","Emigrants: All destinations","Thousand","4.1"
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","1","Male","05","Immigrants: All origins","Thousand","2.3"
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","2","Female","04","Emigrants: All destinations","Thousand","3.7"
"PEA03","Estimated Migration (Persons in April)","1989","1989","215","0 - 14 years","2","Female","05","Immigrants: All origins","Thousand","2.1"
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","37"
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","7.7"
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","19.2"
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","3.7"
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","17.8"
"PEA03","Estimated Migration (Persons in April)","1989","1989","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","4"
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","21.9"
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","-","Both sexes","05","Immigrants: All origins","Thousand","10.6"
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","1","Male","04","Emigrants: All destinations","Thousand","13.7"
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","1","Male","05","Immigrants: All origins","Thousand","5.8"
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","2","Female","04","Emigrants: All destinations","Thousand","8.2"
"PEA03","Estimated Migration (Persons in April)","1989","1989","420","25 - 44 years","2","Female","05","Immigrants: All origins","Thousand","4.7"
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","-","Both sexes","04","Emigrants: All destinations","Thousand","3.8"
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","-","Both sexes","05","Immigrants: All origins","Thousand","2.2"
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","1","Male","04","Emigrants: All destinations","Thousand","2.2"
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","1","Male","05","Immigrants: All origins","Thousand","0.8"
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","2","Female","04","Emigrants: All destinations","Thousand","1.5"
"PEA03","Estimated Migration (Persons in April)","1989","1989","505","45 - 64 years","2","Female","05","Immigrants: All origins","Thousand","1.4"
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","-","Both sexes","05","Immigrants: All origins","Thousand","1.8"
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","1","Male","05","Immigrants: All origins","Thousand","1"
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1989","1989","575","65 years and over","2","Female","05","Immigrants: All origins","Thousand","0.9"
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","-","Both sexes","01","Net migration","Thousand","-22.9"
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","56.3"
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","33.3"
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","-","Both sexes","04","Emigrants: All destinations","Thousand","6.7"
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","-","Both sexes","05","Immigrants: All origins","Thousand","5.2"
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","1","Male","04","Emigrants: All destinations","Thousand","3.6"
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","1","Male","05","Immigrants: All origins","Thousand","2.7"
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","2","Female","04","Emigrants: All destinations","Thousand","3.1"
"PEA03","Estimated Migration (Persons in April)","1990","1990","215","0 - 14 years","2","Female","05","Immigrants: All origins","Thousand","2.5"
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","-","Both sexes","04","Emigrants: All destinations","Thousand","30.8"
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","-","Both sexes","05","Immigrants: All origins","Thousand","10.1"
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","1","Male","04","Emigrants: All destinations","Thousand","14.3"
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","1","Male","05","Immigrants: All origins","Thousand","4.7"
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","2","Female","04","Emigrants: All destinations","Thousand","16.5"
"PEA03","Estimated Migration (Persons in April)","1990","1990","310","15 - 24 years","2","Female","05","Immigrants: All origins","Thousand","5.4"
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","-","Both sexes","04","Emigrants: All destinations","Thousand","16.9"
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","-","Both sexes","05","Immigrants: All origins","Thousand","14"
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","1","Male","04","Emigrants: All destinations","Thousand","9.7"
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","1","Male","05","Immigrants: All origins","Thousand","8"
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","2","Female","04","Emigrants: All destinations","Thousand","7.2"
"PEA03","Estimated Migration (Persons in April)","1990","1990","420","25 - 44 years","2","Female","05","Immigrants: All origins","Thousand","5.9"
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","-","Both sexes","04","Emigrants: All destinations","Thousand","1.9"
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","-","Both sexes","05","Immigrants: All origins","Thousand","2.7"
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","1","Male","04","Emigrants: All destinations","Thousand","1"
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","1","Male","05","Immigrants: All origins","Thousand","1.5"
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","2","Female","04","Emigrants: All destinations","Thousand","0.9"
"PEA03","Estimated Migration (Persons in April)","1990","1990","505","45 - 64 years","2","Female","05","Immigrants: All origins","Thousand","1.2"
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","-","Both sexes","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","-","Both sexes","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","-","Both sexes","05","Immigrants: All origins","Thousand","1.4"
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","1","Male","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","1","Male","05","Immigrants: All origins","Thousand","0.8"
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","2","Female","04","Emigrants: All destinations","Thousand","0"
"PEA03","Estimated Migration (Persons in April)","1990","1990","575","65 years and over","2","Female","05","Immigrants: All origins","Thousand","0.5"
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","-","Both sexes","01","Net migration","Thousand","-2"
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","-","Both sexes","04","Emigrants: All destinations","Thousand","35.3"
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","-","Both sexes","05","Immigrants: All origins","Thousand","33.3"
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","1","Male","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","1","Male","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","1","Male","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","2","Female","01","Net migration","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","2","Female","04","Emigrants: All destinations","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1991","1991","-","All ages","2","Female","05","Immigrants: All origins","Thousand",""
"PEA03","Estimated Migration (Persons in April)","1991","1991","215","0 - 14 years","-","Both sexes","01","Net migration","Thousand",""
