"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C04004V04762","Citizenship","UNIT","VALUE"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","2","Female","IE","Ireland","Thousand","9.5"
"PEA24","Estimated Immigration (Persons in April)","1996","1996","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.2"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","-","Both sexes","-","All Countries","Thousand","44.5"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.5"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1997","1997","-","Both sexes","GB","United Kingdom","Thousand","8.4"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","-","Both sexes","IE","Ireland","Thousand","20.8"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.7"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","1","Male","-","All Countries","Thousand","22"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.5"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1997","1997","1","Male","GB","United Kingdom","Thousand","4.6"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","1","Male","IE","Ireland","Thousand","10.2"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.7"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","2","Female","-","All Countries","Thousand","22.6"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1997","1997","2","Female","GB","United Kingdom","Thousand","3.8"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","2","Female","IE","Ireland","Thousand","10.7"
"PEA24","Estimated Immigration (Persons in April)","1997","1997","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.1"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","-","Both sexes","-","All Countries","Thousand","46"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.1"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1998","1998","-","Both sexes","GB","United Kingdom","Thousand","8.6"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","-","Both sexes","IE","Ireland","Thousand","24.3"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","1","Male","-","All Countries","Thousand","22.7"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.3"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1998","1998","1","Male","GB","United Kingdom","Thousand","4.3"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","1","Male","IE","Ireland","Thousand","12.3"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.7"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","2","Female","-","All Countries","Thousand","23.3"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.8"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1998","1998","2","Female","GB","United Kingdom","Thousand","4.4"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","2","Female","IE","Ireland","Thousand","11.9"
"PEA24","Estimated Immigration (Persons in April)","1998","1998","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.3"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","-","Both sexes","-","All Countries","Thousand","48.9"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.9"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1999","1999","-","Both sexes","GB","United Kingdom","Thousand","8.2"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","-","Both sexes","IE","Ireland","Thousand","26.7"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","1","Male","-","All Countries","Thousand","24.5"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1999","1999","1","Male","GB","United Kingdom","Thousand","4.3"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","1","Male","IE","Ireland","Thousand","13.7"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.6"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","2","Female","-","All Countries","Thousand","24.4"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.9"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","1999","1999","2","Female","GB","United Kingdom","Thousand","3.9"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","2","Female","IE","Ireland","Thousand","13"
"PEA24","Estimated Immigration (Persons in April)","1999","1999","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.5"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","-","Both sexes","-","All Countries","Thousand","52.6"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.2"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2000","2000","-","Both sexes","GB","United Kingdom","Thousand","8.4"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","-","Both sexes","IE","Ireland","Thousand","24.8"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.1"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","1","Male","-","All Countries","Thousand","26.2"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.9"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2000","2000","1","Male","GB","United Kingdom","Thousand","4.1"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","1","Male","IE","Ireland","Thousand","11.8"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.4"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","2","Female","-","All Countries","Thousand","26.4"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.4"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2000","2000","2","Female","GB","United Kingdom","Thousand","4.3"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","2","Female","IE","Ireland","Thousand","13"
"PEA24","Estimated Immigration (Persons in April)","2000","2000","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.8"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","-","Both sexes","-","All Countries","Thousand","59"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.5"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2001","2001","-","Both sexes","GB","United Kingdom","Thousand","9"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","-","Both sexes","IE","Ireland","Thousand","26.3"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","17.3"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","1","Male","-","All Countries","Thousand","30.1"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2001","2001","1","Male","GB","United Kingdom","Thousand","4.5"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","1","Male","IE","Ireland","Thousand","13.2"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.3"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","2","Female","-","All Countries","Thousand","29"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.5"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2001","2001","2","Female","GB","United Kingdom","Thousand","4.5"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","2","Female","IE","Ireland","Thousand","13.1"
"PEA24","Estimated Immigration (Persons in April)","2001","2001","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7.9"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","-","Both sexes","-","All Countries","Thousand","66.9"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.1"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2002","2002","-","Both sexes","GB","United Kingdom","Thousand","7.4"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","-","Both sexes","IE","Ireland","Thousand","27"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","24.4"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","1","Male","-","All Countries","Thousand","31.3"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2002","2002","1","Male","GB","United Kingdom","Thousand","4.1"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","1","Male","IE","Ireland","Thousand","12.4"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.7"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","2","Female","-","All Countries","Thousand","35.6"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.9"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2002","2002","2","Female","GB","United Kingdom","Thousand","3.3"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","2","Female","IE","Ireland","Thousand","14.6"
"PEA24","Estimated Immigration (Persons in April)","2002","2002","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","12.8"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","-","Both sexes","-","All Countries","Thousand","60"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","8.8"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2003","2003","-","Both sexes","GB","United Kingdom","Thousand","9.1"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","-","Both sexes","IE","Ireland","Thousand","17.6"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","24.5"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","1","Male","-","All Countries","Thousand","31.4"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.1"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2003","2003","1","Male","GB","United Kingdom","Thousand","5"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","1","Male","IE","Ireland","Thousand","9.7"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","12.6"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","2","Female","-","All Countries","Thousand","28.6"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.7"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2003","2003","2","Female","GB","United Kingdom","Thousand","4"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","2","Female","IE","Ireland","Thousand","7.9"
"PEA24","Estimated Immigration (Persons in April)","2003","2003","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","11.9"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","-","Both sexes","-","All Countries","Thousand","58.5"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","13.3"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2004","2004","-","Both sexes","GB","United Kingdom","Thousand","7.4"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","-","Both sexes","IE","Ireland","Thousand","16.7"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","21.1"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","1","Male","-","All Countries","Thousand","30.5"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.9"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2004","2004","1","Male","GB","United Kingdom","Thousand","4.5"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","1","Male","IE","Ireland","Thousand","8.4"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","10.7"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","2","Female","-","All Countries","Thousand","28"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.4"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"PEA24","Estimated Immigration (Persons in April)","2004","2004","2","Female","GB","United Kingdom","Thousand","2.9"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","2","Female","IE","Ireland","Thousand","8.2"
"PEA24","Estimated Immigration (Persons in April)","2004","2004","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","10.4"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","-","Both sexes","-","All Countries","Thousand","84.6"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","9.3"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","34.1"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","-","Both sexes","GB","United Kingdom","Thousand","8.9"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","-","Both sexes","IE","Ireland","Thousand","18.5"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","13.7"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","1","Male","-","All Countries","Thousand","47.5"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.8"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","22.9"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","1","Male","GB","United Kingdom","Thousand","5.2"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","1","Male","IE","Ireland","Thousand","9.4"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","6.1"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","2","Female","-","All Countries","Thousand","37.1"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.5"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","11.2"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","2","Female","GB","United Kingdom","Thousand","3.7"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","2","Female","IE","Ireland","Thousand","9.1"
"PEA24","Estimated Immigration (Persons in April)","2005","2005","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7.6"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","-","Both sexes","-","All Countries","Thousand","107.8"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","12.7"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","49.9"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","-","Both sexes","GB","United Kingdom","Thousand","9.9"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","-","Both sexes","IE","Ireland","Thousand","18.9"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","16.4"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","1","Male","-","All Countries","Thousand","60.3"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.4"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","30.7"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","1","Male","GB","United Kingdom","Thousand","5.7"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","1","Male","IE","Ireland","Thousand","9.5"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","2","Female","-","All Countries","Thousand","47.5"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.2"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","19.2"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","2","Female","GB","United Kingdom","Thousand","4.2"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","2","Female","IE","Ireland","Thousand","9.4"
"PEA24","Estimated Immigration (Persons in April)","2006","2006","2","Female","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.5"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","-","Both sexes","-","All Countries","Thousand","151.1"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","-","Both sexes","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","11.8"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","-","Both sexes","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","85.3"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","-","Both sexes","GB","United Kingdom","Thousand","4.3"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","-","Both sexes","IE","Ireland","Thousand","30.7"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","-","Both sexes","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","19"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","1","Male","-","All Countries","Thousand","80"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","1","Male","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.7"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","1","Male","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","47.5"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","1","Male","GB","United Kingdom","Thousand","2.4"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","1","Male","IE","Ireland","Thousand","15.7"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","1","Male","ZZZZ2","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.6"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","2","Female","-","All Countries","Thousand","71.1"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","2","Female","E1420XIE","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.1"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","2","Female","E15E2720","EU15 to EU27 (accession countries joined post 2004)","Thousand","37.8"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","2","Female","GB","United Kingdom","Thousand","1.9"
"PEA24","Estimated Immigration (Persons in April)","2007","2007","2","Female","IE","Ireland","Thousand","15"
