"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02076V02508","Age Group","C02199V02655","Sex","UNIT","VALUE"
"PEA01","Population Estimates (Persons in April)","1951","1951","580","70 - 74 years","-","Both sexes","Thousand","100.1"
"PEA01","Population Estimates (Persons in April)","1951","1951","580","70 - 74 years","1","Male","Thousand","49.1"
"PEA01","Population Estimates (Persons in April)","1951","1951","580","70 - 74 years","2","Female","Thousand","51"
"PEA01","Population Estimates (Persons in April)","1951","1951","595","75 - 79 years","-","Both sexes","Thousand","64.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","595","75 - 79 years","1","Male","Thousand","31.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","595","75 - 79 years","2","Female","Thousand","32.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","610","80 - 84 years","-","Both sexes","Thousand","30.9"
"PEA01","Population Estimates (Persons in April)","1951","1951","610","80 - 84 years","1","Male","Thousand","14.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","610","80 - 84 years","2","Female","Thousand","16.2"
"PEA01","Population Estimates (Persons in April)","1951","1951","630","85 years and over","-","Both sexes","Thousand","13.3"
"PEA01","Population Estimates (Persons in April)","1951","1951","630","85 years and over","1","Male","Thousand","5.5"
"PEA01","Population Estimates (Persons in April)","1951","1951","630","85 years and over","2","Female","Thousand","7.8"
"PEA01","Population Estimates (Persons in April)","1951","1951","-","All ages","-","Both sexes","Thousand","2960.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","-","All ages","1","Male","Thousand","1506.6"
"PEA01","Population Estimates (Persons in April)","1951","1951","-","All ages","2","Female","Thousand","1454"
"PEA01","Population Estimates (Persons in April)","1952","1952","200","Under 1 year","-","Both sexes","Thousand","61.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","200","Under 1 year","1","Male","Thousand","31.5"
"PEA01","Population Estimates (Persons in April)","1952","1952","200","Under 1 year","2","Female","Thousand","30.4"
"PEA01","Population Estimates (Persons in April)","1952","1952","205","0 - 4 years","-","Both sexes","Thousand",""
"PEA01","Population Estimates (Persons in April)","1952","1952","205","0 - 4 years","1","Male","Thousand",""
"PEA01","Population Estimates (Persons in April)","1952","1952","205","0 - 4 years","2","Female","Thousand",""
"PEA01","Population Estimates (Persons in April)","1952","1952","215","0 - 14 years","-","Both sexes","Thousand","859.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","215","0 - 14 years","1","Male","Thousand","438.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","215","0 - 14 years","2","Female","Thousand","420.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","225","1 - 4 years","-","Both sexes","Thousand","248.4"
"PEA01","Population Estimates (Persons in April)","1952","1952","225","1 - 4 years","1","Male","Thousand","127.2"
"PEA01","Population Estimates (Persons in April)","1952","1952","225","1 - 4 years","2","Female","Thousand","121.2"
"PEA01","Population Estimates (Persons in April)","1952","1952","245","5 - 9 years","-","Both sexes","Thousand","284.7"
"PEA01","Population Estimates (Persons in April)","1952","1952","245","5 - 9 years","1","Male","Thousand","145.5"
"PEA01","Population Estimates (Persons in April)","1952","1952","245","5 - 9 years","2","Female","Thousand","139.2"
"PEA01","Population Estimates (Persons in April)","1952","1952","265","10 - 14 years","-","Both sexes","Thousand","264.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","265","10 - 14 years","1","Male","Thousand","134.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","265","10 - 14 years","2","Female","Thousand","130"
"PEA01","Population Estimates (Persons in April)","1952","1952","300","15 - 19 years","-","Both sexes","Thousand","239.7"
"PEA01","Population Estimates (Persons in April)","1952","1952","300","15 - 19 years","1","Male","Thousand","125"
"PEA01","Population Estimates (Persons in April)","1952","1952","300","15 - 19 years","2","Female","Thousand","114.7"
"PEA01","Population Estimates (Persons in April)","1952","1952","310","15 - 24 years","-","Both sexes","Thousand","437.5"
"PEA01","Population Estimates (Persons in April)","1952","1952","310","15 - 24 years","1","Male","Thousand","227.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","310","15 - 24 years","2","Female","Thousand","209.7"
"PEA01","Population Estimates (Persons in April)","1952","1952","320","15 years and over","-","Both sexes","Thousand","2093.3"
"PEA01","Population Estimates (Persons in April)","1952","1952","320","15 years and over","1","Male","Thousand","1062.1"
"PEA01","Population Estimates (Persons in April)","1952","1952","320","15 years and over","2","Female","Thousand","1031.2"
"PEA01","Population Estimates (Persons in April)","1952","1952","365","20 - 24 years","-","Both sexes","Thousand","197.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","365","20 - 24 years","1","Male","Thousand","102.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","365","20 - 24 years","2","Female","Thousand","95"
"PEA01","Population Estimates (Persons in April)","1952","1952","410","25 - 29 years","-","Both sexes","Thousand","192.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","410","25 - 29 years","1","Male","Thousand","96.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","410","25 - 29 years","2","Female","Thousand","96.3"
"PEA01","Population Estimates (Persons in April)","1952","1952","420","25 - 44 years","-","Both sexes","Thousand","760.3"
"PEA01","Population Estimates (Persons in April)","1952","1952","420","25 - 44 years","1","Male","Thousand","385.2"
"PEA01","Population Estimates (Persons in April)","1952","1952","420","25 - 44 years","2","Female","Thousand","375.1"
"PEA01","Population Estimates (Persons in April)","1952","1952","440","30 - 34 years","-","Both sexes","Thousand","188.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","440","30 - 34 years","1","Male","Thousand","94.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","440","30 - 34 years","2","Female","Thousand","94"
"PEA01","Population Estimates (Persons in April)","1952","1952","460","35 - 39 years","-","Both sexes","Thousand","197.3"
"PEA01","Population Estimates (Persons in April)","1952","1952","460","35 - 39 years","1","Male","Thousand","99.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","460","35 - 39 years","2","Female","Thousand","97.5"
"PEA01","Population Estimates (Persons in April)","1952","1952","475","40 - 44 years","-","Both sexes","Thousand","181.5"
"PEA01","Population Estimates (Persons in April)","1952","1952","475","40 - 44 years","1","Male","Thousand","94.2"
"PEA01","Population Estimates (Persons in April)","1952","1952","475","40 - 44 years","2","Female","Thousand","87.3"
"PEA01","Population Estimates (Persons in April)","1952","1952","495","45 - 49 years","-","Both sexes","Thousand","163.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","495","45 - 49 years","1","Male","Thousand","83.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","495","45 - 49 years","2","Female","Thousand","79.7"
"PEA01","Population Estimates (Persons in April)","1952","1952","505","45 - 64 years","-","Both sexes","Thousand","578.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","505","45 - 64 years","1","Male","Thousand","293.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","505","45 - 64 years","2","Female","Thousand","284.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","515","50 - 54 years","-","Both sexes","Thousand","160"
"PEA01","Population Estimates (Persons in April)","1952","1952","515","50 - 54 years","1","Male","Thousand","81.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","515","50 - 54 years","2","Female","Thousand","78.4"
"PEA01","Population Estimates (Persons in April)","1952","1952","530","55 - 59 years","-","Both sexes","Thousand","133.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","530","55 - 59 years","1","Male","Thousand","67.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","530","55 - 59 years","2","Female","Thousand","66.2"
"PEA01","Population Estimates (Persons in April)","1952","1952","550","60 - 64 years","-","Both sexes","Thousand","121.2"
"PEA01","Population Estimates (Persons in April)","1952","1952","550","60 - 64 years","1","Male","Thousand","60.7"
"PEA01","Population Estimates (Persons in April)","1952","1952","550","60 - 64 years","2","Female","Thousand","60.5"
"PEA01","Population Estimates (Persons in April)","1952","1952","565","65 - 69 years","-","Both sexes","Thousand","107.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","565","65 - 69 years","1","Male","Thousand","54.4"
"PEA01","Population Estimates (Persons in April)","1952","1952","565","65 - 69 years","2","Female","Thousand","53.5"
"PEA01","Population Estimates (Persons in April)","1952","1952","575","65 years and over","-","Both sexes","Thousand","316.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","575","65 years and over","1","Male","Thousand","155.3"
"PEA01","Population Estimates (Persons in April)","1952","1952","575","65 years and over","2","Female","Thousand","161.6"
"PEA01","Population Estimates (Persons in April)","1952","1952","580","70 - 74 years","-","Both sexes","Thousand","98.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","580","70 - 74 years","1","Male","Thousand","48.4"
"PEA01","Population Estimates (Persons in April)","1952","1952","580","70 - 74 years","2","Female","Thousand","50.4"
"PEA01","Population Estimates (Persons in April)","1952","1952","595","75 - 79 years","-","Both sexes","Thousand","64.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","595","75 - 79 years","1","Male","Thousand","31.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","595","75 - 79 years","2","Female","Thousand","33.1"
"PEA01","Population Estimates (Persons in April)","1952","1952","610","80 - 84 years","-","Both sexes","Thousand","31.3"
"PEA01","Population Estimates (Persons in April)","1952","1952","610","80 - 84 years","1","Male","Thousand","14.8"
"PEA01","Population Estimates (Persons in April)","1952","1952","610","80 - 84 years","2","Female","Thousand","16.5"
"PEA01","Population Estimates (Persons in April)","1952","1952","630","85 years and over","-","Both sexes","Thousand","14"
"PEA01","Population Estimates (Persons in April)","1952","1952","630","85 years and over","1","Male","Thousand","5.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","630","85 years and over","2","Female","Thousand","8.1"
"PEA01","Population Estimates (Persons in April)","1952","1952","-","All ages","-","Both sexes","Thousand","2952.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","-","All ages","1","Male","Thousand","1500.9"
"PEA01","Population Estimates (Persons in April)","1952","1952","-","All ages","2","Female","Thousand","1452"
"PEA01","Population Estimates (Persons in April)","1953","1953","200","Under 1 year","-","Both sexes","Thousand","60.1"
"PEA01","Population Estimates (Persons in April)","1953","1953","200","Under 1 year","1","Male","Thousand","30.8"
"PEA01","Population Estimates (Persons in April)","1953","1953","200","Under 1 year","2","Female","Thousand","29.3"
"PEA01","Population Estimates (Persons in April)","1953","1953","205","0 - 4 years","-","Both sexes","Thousand",""
"PEA01","Population Estimates (Persons in April)","1953","1953","205","0 - 4 years","1","Male","Thousand",""
"PEA01","Population Estimates (Persons in April)","1953","1953","205","0 - 4 years","2","Female","Thousand",""
"PEA01","Population Estimates (Persons in April)","1953","1953","215","0 - 14 years","-","Both sexes","Thousand","865.3"
"PEA01","Population Estimates (Persons in April)","1953","1953","215","0 - 14 years","1","Male","Thousand","441.9"
"PEA01","Population Estimates (Persons in April)","1953","1953","215","0 - 14 years","2","Female","Thousand","423.4"
"PEA01","Population Estimates (Persons in April)","1953","1953","225","1 - 4 years","-","Both sexes","Thousand","248.1"
"PEA01","Population Estimates (Persons in April)","1953","1953","225","1 - 4 years","1","Male","Thousand","126.7"
"PEA01","Population Estimates (Persons in April)","1953","1953","225","1 - 4 years","2","Female","Thousand","121.4"
"PEA01","Population Estimates (Persons in April)","1953","1953","245","5 - 9 years","-","Both sexes","Thousand","288.5"
"PEA01","Population Estimates (Persons in April)","1953","1953","245","5 - 9 years","1","Male","Thousand","147.7"
"PEA01","Population Estimates (Persons in April)","1953","1953","245","5 - 9 years","2","Female","Thousand","140.8"
"PEA01","Population Estimates (Persons in April)","1953","1953","265","10 - 14 years","-","Both sexes","Thousand","268.6"
"PEA01","Population Estimates (Persons in April)","1953","1953","265","10 - 14 years","1","Male","Thousand","136.7"
"PEA01","Population Estimates (Persons in April)","1953","1953","265","10 - 14 years","2","Female","Thousand","131.9"
"PEA01","Population Estimates (Persons in April)","1953","1953","300","15 - 19 years","-","Both sexes","Thousand","238.6"
"PEA01","Population Estimates (Persons in April)","1953","1953","300","15 - 19 years","1","Male","Thousand","124.5"
"PEA01","Population Estimates (Persons in April)","1953","1953","300","15 - 19 years","2","Female","Thousand","114.1"
"PEA01","Population Estimates (Persons in April)","1953","1953","310","15 - 24 years","-","Both sexes","Thousand","432.3"
"PEA01","Population Estimates (Persons in April)","1953","1953","310","15 - 24 years","1","Male","Thousand","224.9"
"PEA01","Population Estimates (Persons in April)","1953","1953","310","15 - 24 years","2","Female","Thousand","207.4"
"PEA01","Population Estimates (Persons in April)","1953","1953","320","15 years and over","-","Both sexes","Thousand","2083.7"
"PEA01","Population Estimates (Persons in April)","1953","1953","320","15 years and over","1","Male","Thousand","1056"
