COUNTRY,Country,INDICATOR,Indicator,YEAR,Year,Value,Flag Codes,Flags
ARM,Armenia,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2001,2001,90.00575462,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2004,2004,0.183181578,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2005,2005,0.187803433,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2006,2006,0.143448645,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2007,2007,0.105426921,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2008,2008,0.088365152,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2009,2009,0.121220586,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2010,2010,0.130496621,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2011,2011,0.121483673,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2012,2012,0.126206943,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2013,2013,0.110515032,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2014,2014,0.12392759,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2015,2015,0.122895055,,
ARM,Armenia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2016,2016,0.11838639,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2004,2004,213.7062933,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2005,2005,302.0186096,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2006,2006,302.608702,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2007,2007,323.0576027,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2008,2008,345.4148778,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2009,2009,353.6448452,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2010,2010,410.1547266,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2011,2011,420.6593021,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2012,2012,459.8621819,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2013,2013,423.6214773,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2014,2014,497.8456226,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2015,2015,450.5507027,,
ARM,Armenia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2016,2016,435.6562747,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2004,2004,0.02189478,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2005,2005,0.02167436,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2006,2006,0.020278584,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2007,2007,0.016862623,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2008,2008,0.016668933,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2009,2009,0.017583038,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2010,2010,0.015532121,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2011,2011,0.013706155,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2012,2012,0.013306532,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2013,2013,0.014567629,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2014,2014,0.015746593,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2015,2015,0.018862192,,
AUS,Australia,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2016,2016,0.020332186,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2004,2004,697.6487205,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2005,2005,758.7581586,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2006,2006,745.8614424,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2007,2007,737.2816733,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2008,2008,775.8793167,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2009,2009,797.3596572,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2010,2010,843.2861666,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2011,2011,897.6360992,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2012,2012,909.1881946,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2013,2013,934.3000897,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2014,2014,966.5704764,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2015,2015,965.8641598,,
AUS,Australia,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2016,2016,1035.628635,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2000,2000,4.007058141,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2001,2001,3.983620511,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2002,2002,3.749865901,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2003,2003,2.874528395,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2004,2004,2.378742783,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2005,2005,2.344071851,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2006,2006,2.305399821,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2008,2008,3.383477493,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2009,2009,3.350286826,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2010,2010,3.836904183,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2011,2011,2.274958605,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2012,2012,2.494380728,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2013,2013,2.389938535,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2015,2015,2.712822694,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2016,2016,2.647572272,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2017,2017,2.675520343,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2018,2018,2.436765289,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2019,2019,2.500600646,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2020,2020,2.446211541,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2021,2021,2.269100114,,
AUT,Austria,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2022,2022,2.312465098,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2000,2000,98.67621386,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2001,2001,97.8327947,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2002,2002,99.47491678,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2003,2003,92.83016043,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2004,2004,87.74999798,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2005,2005,90.05328137,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2006,2006,93.75905908,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2008,2008,175.6700959,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2009,2009,161.3274471,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2010,2010,179.965239,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2011,2011,117.029049,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2012,2012,121.1393939,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2013,2013,121.244276,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2015,2015,119.8954169,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2016,2016,119.9551133,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2017,2017,126.8976783,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2018,2018,125.4119186,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2019,2019,125.2060829,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2020,2020,119.3976941,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2021,2021,121.7093241,,
AUT,Austria,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2022,2022,120.5521509,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2004,2004,0.037743445,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2005,2005,0.038873054,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2006,2006,0.038492686,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2007,2007,0.037214956,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2008,2008,0.035780886,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2009,2009,0.035218346,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2010,2010,0.040101882,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2011,2011,0.037715285,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2012,2012,0.039881694,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2013,2013,0.037787887,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2014,2014,0.038115695,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2015,2015,0.045321334,,
AUT,Austria,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2016,2016,0.045609829,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2004,2004,1392.326767,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2005,2005,1493.40391,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2006,2006,1565.471642,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2007,2007,1745.952227,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2008,2008,1857.743007,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2009,2009,1695.880406,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2010,2010,1880.929105,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2011,2011,1940.160109,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2012,2012,1936.851178,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2013,2013,1917.022089,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2014,2014,1973.873777,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2015,2015,2003.013411,,
AUT,Austria,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2016,2016,2066.471337,,
AZE,Azerbaijan,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2000,2000,273.1091499,,
AZE,Azerbaijan,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2001,2001,284.861203,,
AZE,Azerbaijan,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2002,2002,210.668015,,
AZE,Azerbaijan,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2011,2011,17.72033392,,
AZE,Azerbaijan,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2000,2000,178.9131029,,
AZE,Azerbaijan,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2001,2001,200.4486389,,
AZE,Azerbaijan,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2002,2002,160.7626087,,
AZE,Azerbaijan,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2011,2011,127.4059253,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2004,2004,0.123457991,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2005,2005,0.085404528,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2006,2006,0.05189232,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2007,2007,0.030918418,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2008,2008,0.020756799,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2009,2009,0.025828986,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2010,2010,0.031671872,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2011,2011,0.028245079,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2012,2012,0.030195373,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2013,2013,0.029559367,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2014,2014,0.029315506,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2015,2015,0.041755139,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-GDP,Available seat capacity for scheduled flight per one thousand units of current USD GDP,2016,2016,0.064186879,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2004,2004,129.0153494,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2005,2005,134.7997164,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2006,2006,128.3274894,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2007,2007,119.0770629,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2008,2008,115.7081726,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2009,2009,127.8637453,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2010,2010,185.0641218,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2011,2011,203.0768939,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2012,2012,226.3403496,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2013,2013,232.7902013,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2014,2014,231.3238307,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2015,2015,229.6743373,,
AZE,Azerbaijan,IND-EQUI-AIRSEATS-PC,Available seat capacity for scheduled flight per one thousand inhabitants,2016,2016,249.0891401,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2002,2002,98.81460115,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2003,2003,81.87698066,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2004,2004,65.84218274,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2005,2005,55.87073383,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2006,2006,44.92148626,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2007,2007,36.62912495,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2008,2008,27.5740734,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2009,2009,29.70284054,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2010,2010,31.47158939,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2011,2011,27.87293962,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2012,2012,32.60676772,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2013,2013,29.38365353,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2014,2014,27.66504164,,
BLR,Belarus,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2015,2015,36.75158723,,
