"STATISTIC","Statistic Label","TLIST(A1)","Year","C02076V02508","Age Group","C02199V02655","Sex","C03184V03848","Frequency of Use","UNIT","VALUE"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","2","Female","01","At least 5 times a week","%","7.2"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","2","Female","02","3-4 times a week","%","5.3"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","2","Female","03","1-2 times a week","%","5.4"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","2","Female","04","Less than weekly but more than once a month","%","3.7"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","2","Female","05","Less than monthly","%","25.9"
"NTA55","Frequency of use of bus services","2019","2019","465","35 - 44 years","2","Female","06","Never","%","52.4"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","1","Male","01","At least 5 times a week","%","2.5"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","1","Male","02","3-4 times a week","%","1.2"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","1","Male","03","1-2 times a week","%","2.7"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","1","Male","04","Less than weekly but more than once a month","%","6.2"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","1","Male","05","Less than monthly","%","22.9"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","1","Male","06","Never","%","64.5"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","2","Female","01","At least 5 times a week","%","4.1"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","2","Female","02","3-4 times a week","%","4.7"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","2","Female","03","1-2 times a week","%","5.4"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","2","Female","04","Less than weekly but more than once a month","%","5.8"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","2","Female","05","Less than monthly","%","20.3"
"NTA55","Frequency of use of bus services","2019","2019","500","45 - 54 years","2","Female","06","Never","%","59.8"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","1","Male","01","At least 5 times a week","%","3.7"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","1","Male","02","3-4 times a week","%","4"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","1","Male","03","1-2 times a week","%","6.9"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","1","Male","04","Less than weekly but more than once a month","%","6.4"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","1","Male","05","Less than monthly","%","18.4"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","1","Male","06","Never","%","60.5"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","2","Female","01","At least 5 times a week","%","5.4"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","2","Female","02","3-4 times a week","%","4.9"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","2","Female","03","1-2 times a week","%","6.9"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","2","Female","04","Less than weekly but more than once a month","%","7.2"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","2","Female","05","Less than monthly","%","31"
"NTA55","Frequency of use of bus services","2019","2019","535","55 - 64 years","2","Female","06","Never","%","44.6"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","1","Male","01","At least 5 times a week","%","3.1"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","1","Male","02","3-4 times a week","%","6.7"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","1","Male","03","1-2 times a week","%","10.9"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","1","Male","04","Less than weekly but more than once a month","%","7.2"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","1","Male","05","Less than monthly","%","33.4"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","1","Male","06","Never","%","38.8"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","2","Female","01","At least 5 times a week","%","3.7"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","2","Female","02","3-4 times a week","%","4.3"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","2","Female","03","1-2 times a week","%","15.1"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","2","Female","04","Less than weekly but more than once a month","%","9.7"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","2","Female","05","Less than monthly","%","33.8"
"NTA55","Frequency of use of bus services","2019","2019","570","65 - 74 years","2","Female","06","Never","%","33.3"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","1","Male","01","At least 5 times a week","%","1.2"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","1","Male","02","3-4 times a week","%","4.2"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","1","Male","03","1-2 times a week","%","5.4"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","1","Male","04","Less than weekly but more than once a month","%","4.8"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","1","Male","05","Less than monthly","%","21"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","1","Male","06","Never","%","63.3"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","2","Female","01","At least 5 times a week","%","3.5"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","2","Female","02","3-4 times a week","%","6.9"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","2","Female","03","1-2 times a week","%","15.6"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","2","Female","04","Less than weekly but more than once a month","%","7.5"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","2","Female","05","Less than monthly","%","20.3"
"NTA55","Frequency of use of bus services","2019","2019","605","75 years and over","2","Female","06","Never","%","46.2"
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","1","Male","01","At least 5 times a week","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","1","Male","02","3-4 times a week","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","1","Male","03","1-2 times a week","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","1","Male","04","Less than weekly but more than once a month","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","1","Male","05","Less than monthly","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","1","Male","06","Never","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","2","Female","01","At least 5 times a week","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","2","Female","02","3-4 times a week","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","2","Female","03","1-2 times a week","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","2","Female","04","Less than weekly but more than once a month","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","2","Female","05","Less than monthly","%",""
"NTA55","Frequency of use of bus services","2021","2021","350","18 - 24 years","2","Female","06","Never","%",""
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","1","Male","01","At least 5 times a week","%","7.9"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","1","Male","02","3-4 times a week","%","6.5"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","1","Male","03","1-2 times a week","%","4.1"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","1","Male","04","Less than weekly but more than once a month","%","6.3"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","1","Male","05","Less than monthly","%","15.8"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","1","Male","06","Never","%","59.4"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","2","Female","01","At least 5 times a week","%","3.5"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","2","Female","02","3-4 times a week","%","5.6"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","2","Female","03","1-2 times a week","%","7.2"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","2","Female","04","Less than weekly but more than once a month","%","6.9"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","2","Female","05","Less than monthly","%","13.8"
"NTA55","Frequency of use of bus services","2021","2021","415","25 - 34 years","2","Female","06","Never","%","62.9"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","1","Male","01","At least 5 times a week","%","5.4"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","1","Male","02","3-4 times a week","%","1.4"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","1","Male","03","1-2 times a week","%","3.3"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","1","Male","04","Less than weekly but more than once a month","%","9.3"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","1","Male","05","Less than monthly","%","17.2"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","1","Male","06","Never","%","63.3"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","2","Female","01","At least 5 times a week","%","4.9"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","2","Female","02","3-4 times a week","%","1.4"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","2","Female","03","1-2 times a week","%","4.7"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","2","Female","04","Less than weekly but more than once a month","%","5.8"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","2","Female","05","Less than monthly","%","23.7"
"NTA55","Frequency of use of bus services","2021","2021","465","35 - 44 years","2","Female","06","Never","%","59.6"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","1","Male","01","At least 5 times a week","%","1"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","1","Male","02","3-4 times a week","%","2.5"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","1","Male","03","1-2 times a week","%","5"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","1","Male","04","Less than weekly but more than once a month","%","3.3"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","1","Male","05","Less than monthly","%","18.4"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","1","Male","06","Never","%","69.8"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","2","Female","01","At least 5 times a week","%","3.3"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","2","Female","02","3-4 times a week","%","2.2"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","2","Female","03","1-2 times a week","%","3.7"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","2","Female","04","Less than weekly but more than once a month","%","6.6"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","2","Female","05","Less than monthly","%","23.5"
"NTA55","Frequency of use of bus services","2021","2021","500","45 - 54 years","2","Female","06","Never","%","60.8"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","1","Male","01","At least 5 times a week","%","2.4"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","1","Male","02","3-4 times a week","%","0.9"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","1","Male","03","1-2 times a week","%","3.7"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","1","Male","04","Less than weekly but more than once a month","%","5.8"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","1","Male","05","Less than monthly","%","20.1"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","1","Male","06","Never","%","67.1"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","2","Female","01","At least 5 times a week","%","3.9"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","2","Female","02","3-4 times a week","%","3.4"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","2","Female","03","1-2 times a week","%","2.9"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","2","Female","04","Less than weekly but more than once a month","%","6.1"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","2","Female","05","Less than monthly","%","19.4"
"NTA55","Frequency of use of bus services","2021","2021","535","55 - 64 years","2","Female","06","Never","%","64.2"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","1","Male","01","At least 5 times a week","%","1.1"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","1","Male","02","3-4 times a week","%","4.8"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","1","Male","03","1-2 times a week","%","6.7"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","1","Male","04","Less than weekly but more than once a month","%","7.7"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","1","Male","05","Less than monthly","%","23.8"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","1","Male","06","Never","%","55.9"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","2","Female","01","At least 5 times a week","%","2.4"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","2","Female","02","3-4 times a week","%","2.3"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","2","Female","03","1-2 times a week","%","10.1"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","2","Female","04","Less than weekly but more than once a month","%","7.3"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","2","Female","05","Less than monthly","%","23.7"
"NTA55","Frequency of use of bus services","2021","2021","570","65 - 74 years","2","Female","06","Never","%","54.2"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","1","Male","01","At least 5 times a week","%","1.9"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","1","Male","02","3-4 times a week","%","1.5"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","1","Male","03","1-2 times a week","%","3.2"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","1","Male","04","Less than weekly but more than once a month","%","5.1"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","1","Male","05","Less than monthly","%","22"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","1","Male","06","Never","%","66.4"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","2","Female","01","At least 5 times a week","%","1.3"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","2","Female","02","3-4 times a week","%","1"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","2","Female","03","1-2 times a week","%","10.2"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","2","Female","04","Less than weekly but more than once a month","%","3.3"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","2","Female","05","Less than monthly","%","17.4"
"NTA55","Frequency of use of bus services","2021","2021","605","75 years and over","2","Female","06","Never","%","66.8"
