"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C03946V04701","City & Legal Town","C03767V04516","Means of Travel","UNIT","VALUE"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","NS","Not stated","Number","206"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06001","Athy Legal Town","T","Total","Number","5295"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","F","On Foot","Number","2008"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","BI","Bicycle","Number","146"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","BU","Bus, minibus or coach","Number","1027"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","TDL","Train, DART or LUAS","Number","983"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","M","Motorcycle or scooter","Number","56"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","CD","Car Driver","Number","4168"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","CP","Car passenger","Number","1168"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","V","Van","Number","372"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","OTH","Other (incl. lorry)","Number","197"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","NS","Not stated","Number","205"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06010","Leixlip Legal Town","T","Total","Number","10330"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","F","On Foot","Number","2456"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","BI","Bicycle","Number","246"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","BU","Bus, minibus or coach","Number","895"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","TDL","Train, DART or LUAS","Number","403"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","M","Motorcycle or scooter","Number","46"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","CD","Car Driver","Number","6333"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","CP","Car passenger","Number","2526"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","V","Van","Number","349"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","OTH","Other (incl. lorry)","Number","267"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","NS","Not stated","Number","221"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06015","Naas Legal Town","T","Total","Number","13742"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","F","On Foot","Number","2460"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","BI","Bicycle","Number","236"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","BU","Bus, minibus or coach","Number","532"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","TDL","Train, DART or LUAS","Number","465"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","M","Motorcycle or scooter","Number","26"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","CD","Car Driver","Number","4025"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","CP","Car passenger","Number","1663"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","V","Van","Number","328"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","OTH","Other (incl. lorry)","Number","171"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","NS","Not stated","Number","285"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W06019","Droichead Nua Legal Town","T","Total","Number","10191"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","F","On Foot","Number","1656"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","BI","Bicycle","Number","130"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","BU","Bus, minibus or coach","Number","126"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","TDL","Train, DART or LUAS","Number","30"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","M","Motorcycle or scooter","Number","12"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","CD","Car Driver","Number","1655"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","CP","Car passenger","Number","598"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","V","Van","Number","154"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","OTH","Other (incl. lorry)","Number","143"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","NS","Not stated","Number","154"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W07009","Kilkenny Legal Town","T","Total","Number","4658"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","F","On Foot","Number","391"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","BI","Bicycle","Number","22"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","BU","Bus, minibus or coach","Number","68"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","TDL","Train, DART or LUAS","Number","20"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","M","Motorcycle or scooter","Number","4"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","CD","Car Driver","Number","618"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","CP","Car passenger","Number","225"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","V","Van","Number","98"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","OTH","Other (incl. lorry)","Number","46"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","NS","Not stated","Number","31"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08009","Mountmellick Legal Town","T","Total","Number","1523"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","F","On Foot","Number","457"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","BI","Bicycle","Number","30"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","BU","Bus, minibus or coach","Number","126"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","TDL","Train, DART or LUAS","Number","56"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","M","Motorcycle or scooter","Number","2"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","CD","Car Driver","Number","690"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","CP","Car passenger","Number","313"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","V","Van","Number","72"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","OTH","Other (incl. lorry)","Number","58"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","NS","Not stated","Number","66"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W08012","Portlaoighise Legal Town","T","Total","Number","1870"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","F","On Foot","Number","174"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","BI","Bicycle","Number","1"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","BU","Bus, minibus or coach","Number","5"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","TDL","Train, DART or LUAS","Number","1"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","M","Motorcycle or scooter","Number","1"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","CD","Car Driver","Number","191"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","CP","Car passenger","Number","78"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","V","Van","Number","38"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","OTH","Other (incl. lorry)","Number","20"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","NS","Not stated","Number","26"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09003","Granard Legal Town","T","Total","Number","535"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","F","On Foot","Number","1087"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","BI","Bicycle","Number","61"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","BU","Bus, minibus or coach","Number","163"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","TDL","Train, DART or LUAS","Number","42"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","M","Motorcycle or scooter","Number","6"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","CD","Car Driver","Number","1396"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","CP","Car passenger","Number","917"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","V","Van","Number","94"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","OTH","Other (incl. lorry)","Number","78"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","NS","Not stated","Number","186"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W09005","Longford Legal Town","T","Total","Number","4030"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","F","On Foot","Number","536"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","BI","Bicycle","Number","41"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","BU","Bus, minibus or coach","Number","136"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","TDL","Train, DART or LUAS","Number","6"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","M","Motorcycle or scooter","Number","4"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","CD","Car Driver","Number","1025"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","CP","Car passenger","Number","366"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","V","Van","Number","132"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","OTH","Other (incl. lorry)","Number","45"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","NS","Not stated","Number","116"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10001","Ardee Legal Town","T","Total","Number","2407"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","F","On Foot","Number","4216"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","BI","Bicycle","Number","582"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","BU","Bus, minibus or coach","Number","1482"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","TDL","Train, DART or LUAS","Number","169"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","M","Motorcycle or scooter","Number","33"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","CD","Car Driver","Number","6015"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","CP","Car passenger","Number","3753"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","V","Van","Number","420"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","OTH","Other (incl. lorry)","Number","211"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","NS","Not stated","Number","722"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W10008","Dundalk Legal Town","T","Total","Number","17603"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","F","On Foot","Number","381"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","BI","Bicycle","Number","7"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","BU","Bus, minibus or coach","Number","118"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","TDL","Train, DART or LUAS","Number","1"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","M","Motorcycle or scooter","Number","2"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","CD","Car Driver","Number","329"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","CP","Car passenger","Number","121"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","V","Van","Number","38"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","OTH","Other (incl. lorry)","Number","26"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","NS","Not stated","Number","36"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11008","Ceanannas Mór (Kells) Legal Town","T","Total","Number","1059"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","F","On Foot","Number","3453"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","BI","Bicycle","Number","212"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","BU","Bus, minibus or coach","Number","1300"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","TDL","Train, DART or LUAS","Number","38"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","M","Motorcycle or scooter","Number","29"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","CD","Car Driver","Number","7367"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","CP","Car passenger","Number","3539"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","V","Van","Number","648"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","OTH","Other (incl. lorry)","Number","287"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","NS","Not stated","Number","370"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11016","Navan (An Uaimh) Legal Town","T","Total","Number","17243"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","F","On Foot","Number","250"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","BI","Bicycle","Number","9"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","BU","Bus, minibus or coach","Number","66"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","TDL","Train, DART or LUAS","Number","4"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","M","Motorcycle or scooter","Number","0"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","CD","Car Driver","Number","250"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","CP","Car passenger","Number","79"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","V","Van","Number","38"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","OTH","Other (incl. lorry)","Number","11"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","NS","Not stated","Number","21"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W11021","Trim Legal Town","T","Total","Number","728"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","F","On Foot","Number","868"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","BI","Bicycle","Number","33"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","BU","Bus, minibus or coach","Number","155"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","TDL","Train, DART or LUAS","Number","8"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","M","Motorcycle or scooter","Number","8"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","CD","Car Driver","Number","1433"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","CP","Car passenger","Number","735"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","V","Van","Number","158"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","OTH","Other (incl. lorry)","Number","65"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","NS","Not stated","Number","127"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12012","Edenderry Legal Town","T","Total","Number","3590"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12016","Tullamore Legal Town","F","On Foot","Number","1429"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12016","Tullamore Legal Town","BI","Bicycle","Number","153"
"SAP2011T11T1C01","Population aged 5 years and over by means of travel to work, school or college","2011","2011","W12016","Tullamore Legal Town","BU","Bus, minibus or coach","Number","384"
